score_1;score_2;protein_name_1;protein_name_2;comments
0.142;0.0421;A2VDJ0;P01903;
0.226;0.222;O15455;P01903;
1.0;0.0;O43561;P01903;
0.183;0.141;P01892;P01903;
0.142;0.0424;A2VDJ0;P54709;
0.142;0.042;O60462;P54709;
0.142;0.0414;O75915;P54709;
0.142;0.0428;O95754;P54709;
1.0;0.0;P05023;P54709;
1.0;0.0;P05026;P54709;
0.155;0.0765;P07550;P54709;
0.141;0.0406;P10321;P54709;
1.0;0.0699;P13637;P54709;
1.0;0.0;P14415;P54709;
0.151;0.0677;P14672;P54709;
0.162;0.0947;P17302;P54709;
1.0;0.0;P50993;P54709;
0.142;0.043;A2VDJ0;Q6UX41;
0.142;0.0423;O15031;Q6UX41;
0.142;0.042;O60291;Q6UX41;
0.142;0.0431;O75882;Q6UX41;
0.142;0.0428;P48167;Q6UX41;
0.142;0.0419;P48357;Q6UX41;
0.142;0.0424;P55082;Q6UX41;
0.142;0.0425;Q13308;Q6UX41;
0.163;0.0956;P04155;Q6UX41;
0.142;0.0433;Q5JS37;Q6UX41;
0.142;0.0427;A2VDJ0;Q9UGM1;
1.0;0.0;P36544;Q9UGM1;
0.141;0.0408;Q07065;Q9UGM1;
0.142;0.0417;Q14244;Q9UGM1;
0.142;0.042;Q8NC67;Q9UGM1;
0.142;0.0427;Q8WVV5;Q9UGM1;
0.142;0.0418;Q9BVT8;Q9UGM1;
0.142;0.0424;Q9NYQ6;Q9UGM1;
0.142;0.0433;Q8NDZ4;Q9UGM1;
0.142;0.0432;A4D1S0;P20036;
1.0;0.0;O43561;P20036;
1.0;0.0;P01903;P20036;
1.0;0.0;P01906;P20036;
1.0;0.0;P01909;P20036;
1.0;0.0;P01911;P20036;
1.0;0.0;P01912;P20036;
1.0;0.0;P01920;P20036;
1.0;0.0;P04229;P20036;
1.0;0.49700000000000005;P04233;P20036;
1.0;0.0;P04234;P20036;
0.141;0.0404;P04439;P20036;
1.0;0.0998;P04440;P20036;
1.0;0.0;P05538;P20036;
1.0;0.0;P06239;P20036;
1.0;0.0;P06340;P20036;
1.0;0.0;P13760;P20036;
1.0;0.0;P13761;P20036;
1.0;0.0;P13762;P20036;
1.0;0.0;P13765;P20036;
0.142;0.042;O00391;P20036;
0.141;0.0401;P02649;P20036;
1.0;0.0;P07339;P20036;
0.141;0.0398;P10909;P20036;
0.639;0.623;A4D2P6;O43424;
0.305;0.33799999999999997;A4D2P6;P12931;
0.423;0.46399999999999997;O00206;P12931;
0.15;0.0639;O00254;P12931;
1.0;0.0;O00451;P12931;
0.263;0.28;O14788;P12931;
1.0;0.0;O14944;P12931;
0.38799999999999996;0.431;O15162;P12931;
0.36700000000000005;0.409;O15455;P12931;
1.0;0.0;O43597;P12931;
1.0;0.0;O43921;P12931;
1.0;0.0;O60609;P12931;
0.19899999999999998;0.174;O60610;P12931;
0.166;0.10400000000000001;O60716;P12931;
0.15;0.0639;O75051;P12931;
0.371;0.414;O95297;P12931;
0.36200000000000004;0.40399999999999997;O95786;P12931;
1.0;0.76;P03372;P12931;
0.14400000000000002;0.0469;P04629;P12931;
0.258;0.273;P05023;P12931;
1.0;0.43200000000000005;P06239;P12931;
1.0;0.46299999999999997;P06241;P12931;
1.0;0.626;P06733;P12931;
1.0;0.7440000000000001;P07333;P12931;
0.581;0.5870000000000001;P07550;P12931;
1.0;0.617;P07900;P12931;
1.0;0.391;P07947;P12931;
1.0;0.574;P07948;P12931;
1.0;0.638;P07949;P12931;
0.37799999999999995;0.42;P08034;P12931;
1.0;0.659;P08581;P12931;
0.366;0.408;P08631;P12931;
0.37;0.41200000000000003;P08962;P12931;
0.17600000000000002;0.126;P09603;P12931;
0.391;0.434;P09848;P12931;
1.0;0.528;P10721;P12931;
1.0;0.0;P10747;P12931;
0.184;0.14300000000000002;P11274;P12931;
0.221;0.213;P11362;P12931;
0.354;0.395;P12814;P12931;
0.49700000000000005;0.526;P12830;P12931;
0.354;0.395;O00560;P12931;
1.0;0.0;O60542;P12931;
0.151;0.0673;O95157;P12931;
1.0;0.0;O95631;P12931;
