uniprot,entry_name,receptor,receptor_highlight,receptor_desc,adhesion,other,other_desc,transporter,secreted_highlight,secreted_desc,transmembrane,secretion,peripheral,ligand,adaptor,extracellular,tags,tags_reason
P25106,ACKR3_HUMAN,True,True,Atipical_chemokine_receptor_add,True,True,CoReceptor_Acts as coreceptor with CXCR4 for a restricted number of HIV isolates (uniprot),False,False,,True,False,False,False,True,False,,
P04626,ERBB2_HUMAN,True,False,,False,False,,False,False,,True,False,False,False,True,False,To_comment,Adaptor_https://www.ncbi.nlm.nih.gov/pubmed/22505611
A1KXE4,F168B_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
A6NM45,CLD24_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
C9JDP6,CLD25_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
H7C241,CLD34_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
O00501,CLD5_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
O14493,CLD4_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
O15551,CLD3_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
O75508,CLD11_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
O75712,CXB3_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
O95377,CXB5_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
O95452,CXB6_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
O95471,CLD7_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
O95484,CLD9_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
O95500,CLD14_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
O95832,CLD1_HUMAN,True,False,,True,True,Claudins,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
P05026,AT1B1_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P06731,CEAM5_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,True,To_comment,Adhesion_add
P08034,CXB1_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P14415,AT1B2_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
P16422,EPCAM_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P17302,CXA1_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P29033,CXB2_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
P29323,EPHB2_HUMAN,True,False,,True,False,,False,False,,True,False,False,False,True,True,To_comment,Adhesion_add
P31997,CEAM8_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,True,To_comment,Adhesion_add
P35212,CXA4_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P36382,CXA5_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P36383,CXG1_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P40199,CEAM6_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,True,To_comment,Adhesion_add
P48165,CXA8_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P51164,ATP4B_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P54756,EPHA5_HUMAN,True,False,,True,False,,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
P54760,EPHB4_HUMAN,True,False,,True,False,,False,False,,True,False,False,False,True,True,To_comment,Adhesion_add
P56746,CLD15_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P56747,CLD6_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P56748,CLD8_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P56749,CLD12_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P56750,CLD17_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P56856,CLD18_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P56880,CLD20_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P57087,JAM2_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P57739,CLD2_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P57773,CXA9_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P60201,MYPR_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P78369,CLD10_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
Q14002,CEAM7_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,True,To_comment,Adhesion_add
Q15375,EPHA7_HUMAN,True,False,,True,False,,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q5JZY3,EPHAA_HUMAN,True,False,,True,False,,False,False,,True,True,False,False,False,False,To_comment,Adhesion_add
Q5T442,CXG2_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q6PEY0,CXB7_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q6UWL6,KIRR2_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q8IYV9,IZUM1_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q8N144,CXD3_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q8N6F1,CLD19_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
Q8N6Q3,CD177_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q8N7P3,CLD22_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q8NFK1,CXG3_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q969M2,CXA10_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q96B33,CLD23_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q96KN9,CXD4_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q9BZL6,KPCD2_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
Q9H6B4,CLMP_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,True,False,To_comment,Adhesion_add
Q9HBB8,CDHR5_HUMAN,False,False,,True,True,Cadherin,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q9NTQ9,CXB4_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q9UKL4,CXD2_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q9UQC9,CLCA2_HUMAN,False,False,,True,False,,False,False,,True,True,False,False,False,True,To_comment,Adhesion_add
Q9Y5I7,CLD16_HUMAN,False,False,,True,True,Claudins,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
Q9Y6H8,CXA3_HUMAN,False,False,,True,True,Gap junction,False,False,,True,False,False,False,False,False,To_comment,Adhesion_add
P54753,EPHB3_HUMAN,True,False,,True,False,,False,False,,True,False,False,False,True,True,To_comment,Adhesion_add | Migration
Q9P244,LRFN1_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,True,To_comment,Adhesion_add | Possible_receptor
P16471,PRLR_HUMAN,True,True,Hormone_receptor_add,False,False,,False,False,,True,True,False,False,False,True,To_add,cytokine_receptor
P26951,IL3RA_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
P32927,IL3RB_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
P42701,I12R1_HUMAN,True,True,Cytokine_receptor,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
P78552,I13R1_HUMAN,True,True,Cytokine_receptor,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q01344,IL5RA_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,True,To_add,cytokine_receptor
Q08334,I10R2_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q13651,I10R1_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q14626,I11RA_HUMAN,True,True,Cytokine_receptor,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q14627,I13R2_HUMAN,True,True,Cytokine_receptor,False,False,,False,False,,True,False,False,False,False,True,To_add,cytokine_receptor
Q6UWB1,I27RA_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q6UXL0,I20RB_HUMAN,True,True,Cytokine_receptor,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q8IU57,INLR1_HUMAN,True,True,Interferon_receptor,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q8N6P7,I22R1_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q99650,OSMR_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q99665,I12R2_HUMAN,True,True,Cytokine_receptor,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q9HBE5,IL21R_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q9UHF4,I20RA_HUMAN,True,True,Cytokine_receptor,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
P14784,IL2RB_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
P31785,IL2RG_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,cytokine_receptor
Q18PE1,DOK7_HUMAN,True,False,,False,False,,False,False,,True,False,True,False,False,False,To_add,found in a complex
P16284,PECA1_HUMAN,True,True,Inflammation,True,False,,False,False,,True,False,False,False,False,True,,
A6NDA9,LRIT2_HUMAN,False,False,,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
A6NFU0,F187A_HUMAN,False,False,,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
A8MVW5,HECA2_HUMAN,False,False,,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
B6A8C7,TARM1_HUMAN,False,False,,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
O14522,PTPRT_HUMAN,True,False,,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
O15389,SIGL5_HUMAN,False,False,,True,True,Sialic acid-binding Ig-like,False,False,,True,False,False,False,False,False,To_add,Iglike
O15533,TPSN_HUMAN,False,False,,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
O60487,MPZL2_HUMAN,False,False,,True,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
O60939,SCN2B_HUMAN,False,False,,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
O75023,LIRB5_HUMAN,True,True,Inhibitory LILRs_add,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
O75144,ICOSL_HUMAN,False,False,,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
O95256,I18RA_HUMAN,True,True,Cytokine_receptor_add,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
P01889,1B07_HUMAN,False,False,,False,True,HLA,False,False,,True,False,False,False,False,False,To_add,Iglike
P01891,1A68_HUMAN,False,False,,False,True,HLA,False,False,,True,False,False,False,False,False,To_add,Iglike
P01892,1A02_HUMAN,False,False,,False,True,HLA,False,False,,True,False,False,False,False,False,To_add,Iglike
P03989,1B27_HUMAN,False,False,,False,True,HLA,False,False,,True,False,False,False,False,False,To_add,Iglike
P04222,1C03_HUMAN,False,False,,False,True,HLA,False,False,,True,False,False,False,False,False,To_add,Iglike
P04439,1A03_HUMAN,False,False,,False,True,HLA,False,False,,True,False,False,False,False,False,To_add,Iglike
P05534,1A24_HUMAN,False,False,,False,True,HLA,False,False,,True,False,False,False,False,False,To_add,Iglike
P06340,DOA_HUMAN,False,False,,False,True,HLA,False,False,,True,False,False,False,False,False,To_add,Iglike
P09564,CD7_HUMAN,True,False,,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
P09693,CD3G_HUMAN,True,False,,False,False,,False,False,,True,False,False,False,False,False,To_add,Iglike
P0C6S8,LIGO3_HUMAN,False,False,,False,False,,False,False,,True,False,False,False,False,True,To_add,Iglike
P10314,1A32_HUMAN,False,False,,False,True,HLA,False,False,,True,False,False,False,False,False,To_add,Iglike
