id,name,receptor,receptor_highlight,receptor_desc,adhesion,other,other_desc,transporter,secreted_highlight,secreted_desc
1,Q13685,False,False,,False,False,,False,False,
2,Q8IZY2,False,False,,False,False,,True,False,
3,O94911,False,False,,False,False,,True,False,
4,P08183,False,False,,False,False,,True,False,
5,P21439,False,False,,False,False,,True,False,
6,Q2M3G0,False,False,,False,False,,True,False,
7,Q9NP58,False,False,,False,False,,True,False,
8,P33527,False,False,,False,False,,True,False,
9,Q5T3U5,False,False,,False,False,,False,False,
10,Q92887,False,False,,False,False,,False,False,
11,O95255,False,False,,False,False,,True,False,
12,Q09428,True,False,,False,False,,True,False,
13,Q9UNQ0,False,False,,False,False,,True,False,
14,P08910,False,False,,False,False,,False,False,
15,Q8IZP0,False,False,,False,False,,False,False,
16,P12821,False,False,,False,False,,False,False,
17,Q9BYF1,True,False,,False,False,,False,False,
18,O00590,True,True,Atipical_chemokine_receptor_add,False,False,,False,False,
19,P25106,True,True,Atipical_chemokine_receptor_add,True,False,,False,False,
20,Q9NPB9,True,True,Atipical_chemokine_receptor_add,False,False,,False,False,
21,P15309,False,False,,False,False,,False,False,
22,P12814,False,False,,False,False,,False,False,
25,P37023,True,True,TGFBeta_receptor_add,False,False,,False,False,
26,O14672,False,False,,False,False,,False,False,
28,O75077,False,False,,True,False,,False,False,
29,Q9UKQ2,False,False,,True,False,,False,False,
30,Q13443,False,False,,True,False,,False,False,
31,Q9NPF8,False,False,,False,False,,False,False,
32,Q08828,False,False,,False,False,,False,False,
33,Q08462,False,False,,False,False,,False,False,
34,O60266,False,False,,False,False,,False,False,
35,Q8NFM4,False,False,,False,False,,False,False,
36,O95622,False,False,,False,False,,False,False,
37,O43306,False,False,,False,False,,False,False,
38,O60503,False,False,,False,False,,False,False,
39,P41586,True,False,,False,False,,False,False,
40,O60241,True,False,,False,False,,False,False,
41,O60242,True,False,,False,False,,False,False,
42,Q6QNK2,True,False,,False,False,,False,False,
43,Q14246,True,False,,False,False,,False,False,
44,Q9UHX3,True,False,,True,True,Migration,False,False,
45,Q9BY15,True,False,,True,False,,False,False,
46,Q5T601,True,False,,True,False,,False,False,
47,Q8IZF2,True,False,,False,False,,False,False,
48,Q8IZP9,True,False,,False,False,,False,False,
49,Q86Y34,True,False,,False,False,,False,False,
50,Q8IZF4,True,False,,False,False,,False,False,
51,O94910,True,False,,False,False,,False,False,
