uniprot,adhesion,cytoplasm,entry_name,extracellular,integrin_interaction,other,other_desc,pdb_id,pdb_structure,peripheral,receptor,receptor_desc,secreted_desc,secreted_highlight,secretion,stoichiometry,tags_description,transmembrane,transporter,tags,tags_reason
P25106,True,True,ACKR3_HUMAN,False,False,True,CoReceptor_Acts as coreceptor with CXCR4 for a restricted number of HIV isolates (uniprot),,,False,True,Atipical_chemokine_receptor_add,,False,False,,CoReceptor_Acts as coreceptor with CXCR4 for a restricted number of HIV isolates (uniprot),True,False,To_comment,Receptor_add
P04626,False,True,ERBB2_HUMAN,False,False,False,,,,False,True,https://www.ncbi.nlm.nih.gov/pubmed/22505611,,False,False,,,True,False,,
A1KXE4,True,True,F168B_HUMAN,False,False,False,,,,False,False,,,False,False,,,True,False,To_comment,Adhesion_add
A6NM45,True,False,CLD24_HUMAN,False,False,False,,,,False,False,,,False,False,,Claudins,True,False,To_comment,Adhesion_add
C9JDP6,True,False,CLD25_HUMAN,False,False,False,,,,False,False,,,False,False,,Claudins,True,False,To_comment,Adhesion_add
H7C241,True,False,CLD34_HUMAN,False,False,False,,,,False,False,,,False,False,,Claudins,True,False,To_comment,Adhesion_add
O00501,True,False,CLD5_HUMAN,False,False,False,,,,False,False,,,False,False,,Claudins,True,False,To_comment,Adhesion_add
O14493,True,False,CLD4_HUMAN,False,False,False,,,,False,False,,,False,False,,Claudins,True,False,To_comment,Adhesion_add
O15551,True,True,CLD3_HUMAN,False,False,False,,,,False,False,,,False,False,,Claudins,True,False,To_comment,Adhesion_add
O75508,True,False,CLD11_HUMAN,False,False,False,,,,False,False,,,False,False,,Claudins,True,False,To_comment,Adhesion_add
O75712,True,True,CXB3_HUMAN,False,False,False,,,,False,False,,,False,False,,Gap junction,True,False,To_comment,Adhesion_add
O95377,True,False,CXB5_HUMAN,False,False,False,,,,False,False,,,False,False,,Gap junction,True,False,To_comment,Adhesion_add
O95452,True,True,CXB6_HUMAN,False,False,False,,,,False,False,,,False,False,,Gap junction,True,False,To_comment,Adhesion_add
