gene_name,uniprot,hgnc_symbol,ensembl
A1BG,P04217,A1BG,ENSG00000121410
A2M,P01023,A2M,ENSG00000175899
A2ML1,A8K2U0,A2ML1,ENSG00000166535
AADACL2,Q6P093,AADACL2,ENSG00000261846
AADACL2,Q6P093,AADACL2,ENSG00000197953
AAK1,Q2M2I8,AAK1,ENSG00000115977
AAMP,Q13685,AAMP,ENSG00000127837
ABCA7,Q8IZY2,ABCA7,ENSG00000064687
ABCA8,O94911,ABCA8,ENSG00000141338
ABCB1,P08183,ABCB1,ENSG00000085563
ABCB4,P21439,ABCB4,ENSG00000005471
ABCB5,Q2M3G0,ABCB5,ENSG00000004846
ABCB6,Q9NP58,ABCB6,ENSG00000115657
ABCC1,P33527,ABCC1,ENSG00000278183
ABCC1,P33527,ABCC1,ENSG00000103222
ABCC10,Q5T3U5,ABCC10,ENSG00000124574
ABCC2,Q92887,ABCC2,ENSG00000023839
ABCC6,O95255,ABCC6,ENSG00000091262
ABCC6,O95255,ABCC6,ENSG00000275331
ABCC8,Q09428,ABCC8,ENSG00000006071
ABCG2,Q9UNQ0,ABCG2,ENSG00000118777
BCRP1,Q9UNQ0,BCRP1,ENSG00000225098
ABCG5,Q9H222,ABCG5,ENSG00000138075
ABCG8,Q9H221,ABCG8,ENSG00000143921
ABHD15,Q6UXT9,ABHD15,ENSG00000168792
ABHD17A,Q96GS6,ABHD17A,ENSG00000129968
ABHD17B,Q5VST6,ABHD17B,ENSG00000107362
ABHD18,Q0P651,ABHD18,ENSG00000164074
ABHD2,P08910,ABHD2,ENSG00000140526
ABI1,Q8IZP0,ABI1,ENSG00000136754
ABI3BP,Q7Z7G0,ABI3BP,ENSG00000154175
ABO,P16442,ABO,ENSG00000281879
ABO,P16442,ABO,ENSG00000175164
ACAN,P16112,ACAN,ENSG00000157766
ACE,P12821,ACE,ENSG00000159640
ACE2,Q9BYF1,ACE2,ENSG00000130234
ACHE,P22303,ACHE,ENSG00000087085
ACKR1,Q16570,ACKR1,ENSG00000213088
ACKR2,O00590,ACKR2,ENSG00000144648
CCR10,O00590,CCR10,ENSG00000184451
ACKR3,P25106,ACKR3,ENSG00000144476
ACKR4,Q9NPB9,ACKR4,ENSG00000129048
ACP7,Q6ZNF0,ACP7,ENSG00000183760
ACPP,P15309,ACPP,ENSG00000014257
ACRBP,Q8NEB7,ACRBP,ENSG00000111644
ACTN1,P12814,ACTN1,ENSG00000072110
ACVR1,Q04771,ACVR1,ENSG00000115170
ACVR1B,P36896,ACVR1B,ENSG00000135503
ACVR1C,Q8NER5,ACVR1C,ENSG00000123612
ACVR2A,P27037,ACVR2A,ENSG00000121989
ACVR2B,Q13705,ACVR2B,ENSG00000114739
ACVRL1,P37023,ACVRL1,ENSG00000139567
ACY3,Q96HD9,ACY3,ENSG00000132744
ADA,P00813,ADA,ENSG00000196839
ADA2,Q9NZK5,ADA2,ENSG00000093072
ADAM10,O14672,ADAM10,ENSG00000137845
ADAM12,O43184,ADAM12,ENSG00000148848
ADAM15,Q13444,ADAM15,ENSG00000143537
ADAM2,Q99965,ADAM2,ENSG00000276286
ADAM2,Q99965,ADAM2,ENSG00000104755
ADAM22,Q9P0K1,ADAM22,ENSG00000008277
ADAM23,O75077,ADAM23,ENSG00000114948
ADAM23,Q9UKQ2,ADAM23,ENSG00000114948
ADAM28,Q9UKQ2,ADAM28,ENSG00000042980
ADAM9,Q13443,ADAM9,ENSG00000282230
ADAM9,Q13443,ADAM9,ENSG00000168615
ADAMDEC1,O15204,ADAMDEC1,ENSG00000134028
ADAMTS1,Q9UHI8,ADAMTS1,ENSG00000154734
ADAMTS10,Q9H324,ADAMTS10,ENSG00000142303
ADAMTS12,P58397,ADAMTS12,ENSG00000151388
ADAMTS12,P58397,ADAMTS12,ENSG00000281690
ADAMTS13,Q76LX8,ADAMTS13,ENSG00000160323
ADAMTS13,Q76LX8,ADAMTS13,ENSG00000281244
ADAMTS14,Q8WXS8,ADAMTS14,ENSG00000138316
ADAMTS15,Q8TE58,ADAMTS15,ENSG00000166106
ADAMTS16,Q8TE57,ADAMTS16,ENSG00000145536
ADAMTS17,Q8TE56,ADAMTS17,ENSG00000140470
ADAMTS18,Q8TE60,ADAMTS18,ENSG00000140873
ADAMTS19,Q8TE59,ADAMTS19,ENSG00000145808
ADAMTS2,O95450,ADAMTS2,ENSG00000087116
ADAMTS2,O95450,ADAMTS2,ENSG00000283802
ADAMTS20,P59510,ADAMTS20,ENSG00000173157
ADAMTS3,O15072,ADAMTS3,ENSG00000156140
ADAMTS4,O75173,ADAMTS4,ENSG00000158859
ADAMTS5,Q9UNA0,ADAMTS5,ENSG00000154736
ADAMTS6,Q9UKP5,ADAMTS6,ENSG00000049192
ADAMTS7,Q9UKP4,ADAMTS7,ENSG00000136378
ADAMTS8,Q9UP79,ADAMTS8,ENSG00000134917
ADAMTS9,Q9P2N4,ADAMTS9,ENSG00000163638
ADAMTSL1,Q8N6G6,ADAMTSL1,ENSG00000178031
ADAMTSL2,Q86TH1,ADAMTSL2,ENSG00000197859
ADAMTSL3,P82987,ADAMTSL3,ENSG00000156218
ADAMTSL4,Q6UY14,ADAMTSL4,ENSG00000143382
ADAMTSL5,Q6ZMM2,ADAMTSL5,ENSG00000185761
ADAP2,Q9NPF8,ADAP2,ENSG00000184060
ADCK1,Q86TW2,ADCK1,ENSG00000063761
ADCY1,Q08828,ADCY1,ENSG00000164742
ADCY10,Q96PN6,ADCY10,ENSG00000143199
ADCY2,Q08462,ADCY2,ENSG00000078295
ADCY3,O60266,ADCY3,ENSG00000138031
ADCY4,Q8NFM4,ADCY4,ENSG00000129467
ADCY5,O95622,ADCY5,ENSG00000173175
ADCY6,O43306,ADCY6,ENSG00000174233
ADCY9,O60503,ADCY9,ENSG00000162104
ADCYAP1,P18509,ADCYAP1,ENSG00000141433
ADCYAP1R1,P41586,ADCYAP1R1,ENSG00000078549
ADD1,P35611,ADD1,ENSG00000087274
ADD2,P35612,ADD2,ENSG00000075340
ADD3,Q9UEY8,ADD3,ENSG00000148700
ADGRA1,Q86SQ6,ADGRA1,ENSG00000197177
ADGRA2,Q96PE1,ADGRA2,ENSG00000020181
ADGRA3,Q8IWK6,ADGRA3,ENSG00000152990
ADGRB1,O14514,ADGRB1,ENSG00000181790
ADGRB2,O60241,ADGRB2,ENSG00000121753
ADGRB3,O60242,ADGRB3,ENSG00000135298
ADGRD1,Q6QNK2,ADGRD1,ENSG00000111452
ADGRD2,Q7Z7M1,ADGRD2,ENSG00000180264
ADGRE1,Q14246,ADGRE1,ENSG00000174837
ADGRE2,Q9UHX3,ADGRE2,ENSG00000127507
ADGRE3,Q9BY15,ADGRE3,ENSG00000131355
ADGRE4P,Q86SQ3,ADGRE4P,ENSG00000268758
ADGRF1,Q5T601,ADGRF1,ENSG00000153292
ADGRF2,Q8IZF7,ADGRF2,ENSG00000164393
ADGRF5,Q8IZF2,ADGRF5,ENSG00000069122
ADGRG1,Q9Y653,ADGRG1,ENSG00000205336
ADGRG2,Q8IZP9,ADGRG2,ENSG00000173698
ADGRG3,Q86Y34,ADGRG3,ENSG00000182885
ADGRG4,Q8IZF6,ADGRG4,ENSG00000156920
ADGRG5,Q8IZF4,ADGRG5,ENSG00000159618
ADGRG6,Q86SQ4,ADGRG6,ENSG00000112414
ADGRG7,Q96K78,ADGRG7,ENSG00000144820
ADGRL1,O94910,ADGRL1,ENSG00000072071
ADGRL2,O95490,ADGRL2,ENSG00000117114
ADGRL3,Q9HAR2,ADGRL3,ENSG00000150471
ADGRL4,Q9HBW9,ADGRL4,ENSG00000162618
ADI1,Q9BV57,ADI1,ENSG00000280830
ADI1,Q9BV57,ADI1,ENSG00000182551
ADIPOQ,Q15848,ADIPOQ,ENSG00000181092
ADIPOR1,Q96A54,ADIPOR1,ENSG00000159346
ADIPOR2,Q86V24,ADIPOR2,ENSG00000006831
ADM,P35318,ADM,ENSG00000148926
ADM2,Q7Z4H4,ADM2,ENSG00000128165
ADM5,C9JUS6,ADM5,ENSG00000224420
ADORA1,P30542,ADORA1,ENSG00000163485
ADORA2A,P29274,ADORA2A,ENSG00000128271
ADORA2B,P29275,ADORA2B,ENSG00000170425
ADORA3,P0DMS8,ADORA3,ENSG00000282608
ADPGK,Q9BRR6,ADPGK,ENSG00000159322
ADRA1A,P35348,ADRA1A,ENSG00000120907
ADRA1A,P25100,ADRA1A,ENSG00000120907
ADRA1D,P25100,ADRA1D,ENSG00000171873
ADRA1B,P35368,ADRA1B,ENSG00000170214
ADRA2A,P08913,ADRA2A,ENSG00000150594
ADRA2B,P18089,ADRA2B,ENSG00000274286
ADRA2C,P18825,ADRA2C,ENSG00000184160
ADRB1,P08588,ADRB1,ENSG00000043591
ADRB2,P07550,ADRB2,ENSG00000169252
ADRB3,P13945,ADRB3,ENSG00000188778
ADTRP,Q96IZ2,ADTRP,ENSG00000111863
AEBP1,Q8IUX7,AEBP1,ENSG00000106624
AFM,P43652,AFM,ENSG00000079557
AFP,P02771,AFP,ENSG00000081051
AGER,Q15109,AGER,ENSG00000237405
AGER,Q15109,AGER,ENSG00000234729
AGER,Q15109,AGER,ENSG00000229058
AGER,Q15109,AGER,ENSG00000231268
AGER,Q15109,AGER,ENSG00000230514
AGER,Q15109,AGER,ENSG00000204305
AGER,Q15109,AGER,ENSG00000206320
AGGF1,Q8N302,AGGF1,ENSG00000164252
AGR2,O95994,AGR2,ENSG00000106541
AGRN,O00468,AGRN,ENSG00000188157
AGRP,O00253,AGRP,ENSG00000159723
AGT,P01019,AGT,ENSG00000135744
AGTR1,P30556,AGTR1,ENSG00000144891
AGTR2,P50052,AGTR2,ENSG00000180772
AHCYL1,O43865,AHCYL1,ENSG00000168710
AHSG,P02765,AHSG,ENSG00000145192
AIF1,P55008,AIF1,ENSG00000234836
AIF1,P55008,AIF1,ENSG00000204472
AIF1,P55008,AIF1,ENSG00000237727
AIF1,P55008,AIF1,ENSG00000235588
AIF1,P55008,AIF1,ENSG00000235985
AIF1,P55008,AIF1,ENSG00000206428
AIF1L,Q9BQI0,AIF1L,ENSG00000126878
AIMP1,Q12904,AIMP1,ENSG00000164022
AJAP1,Q9UKB5,AJAP1,ENSG00000196581
AJUBA,Q96IF1,AJUBA,ENSG00000129474
AKAP7,O43687,AKAP7,ENSG00000118507
AKR1B10,O60218,AKR1B10,ENSG00000198074
AKT1,P31749,AKT1,ENSG00000142208
AKT2,P31751,AKT2,ENSG00000105221
AKTIP,Q9H8T0,AKTIP,ENSG00000166971
ALB,P02768,ALB,ENSG00000163631
ALCAM,Q13740,ALCAM,ENSG00000170017
ALDH3B1,P43353,ALDH3B1,ENSG00000006534
ALG10B,Q5I7T1,ALG10B,ENSG00000175548
ALK,Q9UM73,ALK,ENSG00000171094
ALKAL1,Q6UXT8,ALKAL1,ENSG00000196711
ALKAL2,Q6UX46,ALKAL2,ENSG00000189292
ALOX15,P16050,ALOX15,ENSG00000161905
ALOX15B,O15296,ALOX15B,ENSG00000179593
ALPI,P09923,ALPI,ENSG00000163295
ALPL,P05186,ALPL,ENSG00000162551
ALPP,P05187,ALPP,ENSG00000163283
ALPPL2,P10696,ALPPL2,ENSG00000163286
AMBN,Q9NP70,AMBN,ENSG00000178522
AMBP,P02760,AMBP,ENSG00000106927
AMELX,Q99217,AMELX,ENSG00000125363
AMELY,Q99218,AMELY,ENSG00000099721
AMER1,Q5JTC6,AMER1,ENSG00000184675
AMER2,Q8N7J2,AMER2,ENSG00000165566
AMER3,Q8N944,AMER3,ENSG00000178171
AMH,P03971,AMH,ENSG00000104899
MIF,P03971,MIF,ENSG00000276701
MIF,P03971,MIF,ENSG00000240972
AMHR2,Q16671,AMHR2,ENSG00000135409
AMIGO1,Q86WK6,AMIGO1,ENSG00000181754
AMIGO2,Q86SJ2,AMIGO2,ENSG00000139211
AMIGO3,Q86WK7,AMIGO3,ENSG00000176020
AMN,Q9BXJ7,AMN,ENSG00000166126
AMTN,Q6UX39,AMTN,ENSG00000187689
AMY1A,P04745,AMY1A,ENSG00000237763
AMY1B,P04745,AMY1B,ENSG00000174876
AMY1C,P04745,AMY1C,ENSG00000187733
AMY2A,P04746,AMY2A,ENSG00000243480
AMY2B,P19961,AMY2B,ENSG00000240038
ANG,P03950,ANG,ENSG00000214274
ANGPT1,Q15389,ANGPT1,ENSG00000154188
ANGPT2,O15123,ANGPT2,ENSG00000091879
ANGPT4,Q9Y264,ANGPT4,ENSG00000101280
ANGPTL1,O95841,ANGPTL1,ENSG00000116194
ANGPTL2,Q9UKU9,ANGPTL2,ENSG00000136859
ANGPTL3,Q9Y5C1,ANGPTL3,ENSG00000132855
ANGPTL4,Q9BY76,ANGPTL4,ENSG00000167772
ANGPTL5,Q86XS5,ANGPTL5,ENSG00000187151
ANGPTL6,Q8NI99,ANGPTL6,ENSG00000130812
ANGPTL7,O43827,ANGPTL7,ENSG00000171819
ANGPTL8,Q6UXH0,ANGPTL8,ENSG00000130173
ANK2,Q01484,ANK2,ENSG00000145362
ANK3,Q12955,ANK3,ENSG00000151150
ANKRD13A,Q8IZ07,ANKRD13A,ENSG00000076513
ANKRD13B,Q86YJ7,ANKRD13B,ENSG00000198720
ANKRD13D,Q6ZTN6,ANKRD13D,ENSG00000172932
ANKRD27,Q96NW4,ANKRD27,ENSG00000105186
ANKS1B,Q7Z6G8,ANKS1B,ENSG00000185046
