gene_name,uniprot,hgnc_symbol,ensembl
TTR,P02766,TTR,ENSG00000118271
TYRO3,Q06418,TYRO3,ENSG00000092445
TSLP,Q969D9,TSLP,ENSG00000145777
SSTR4,P31391,SSTR4,ENSG00000132671
THBS1,P07996,THBS1,ENSG00000137801
TYROBP,O43914,TYROBP,ENSG00000011600
MMP2,P08253,MMP2,ENSG00000087245
NRP1,O14786,NRP1,ENSG00000099250
NOTCH1,P46531,NOTCH1,ENSG00000148400
NOTCH2,Q04721,NOTCH2,ENSG00000134250
NRTN,Q99748,NRTN,ENSG00000171119
NOTCH4,Q99466,NOTCH4,ENSG00000204301
NOTCH4,Q99466,NOTCH4,ENSG00000238196
NOTCH4,Q99466,NOTCH4,ENSG00000232339
NOTCH4,Q99466,NOTCH4,ENSG00000235396
NOTCH4,Q99466,NOTCH4,ENSG00000223355
NOTCH4,Q99466,NOTCH4,ENSG00000206312
NOTCH4,Q99466,NOTCH4,ENSG00000234876
NPB,Q8NG41,NPB,ENSG00000183979
NPSR1,Q6W5P4,NPSR1,ENSG00000187258
NPVF,Q9HCQ7,NPVF,ENSG00000105954
NPW,Q8N729,NPW,ENSG00000183971
NPY2R,P49146,NPY2R,ENSG00000185149
NPY4R,P50391,NPY4R,ENSG00000204174
LSR,Q86X29,LSR,ENSG00000105699
SELL,P14151,SELL,ENSG00000188404
SELE,P16581,SELE,ENSG00000007908
SELP,P16109,SELP,ENSG00000174175
MDK,P21741,MDK,ENSG00000110492
NTF3,P20783,NTF3,ENSG00000185652
NTF4,P34130,NTF4,ENSG00000225950
NPS,P0C0P6,NPS,ENSG00000214285
NPY1R,P25929,NPY1R,ENSG00000164128
NPY5R,Q15761,NPY5R,ENSG00000164129
MC3R,P41968,MC3R,ENSG00000124089
NPFFR1,Q9GZQ6,NPFFR1,ENSG00000148734
PMCH,P20382,PMCH,ENSG00000183395
MC4R,P32245,MC4R,ENSG00000166603
NMUR2,Q9GZQ4,NMUR2,ENSG00000132911
NOTCH3,Q9UM47,NOTCH3,ENSG00000074181
MET,P08581,MET,ENSG00000105976
NPBWR1,P48145,NPBWR1,ENSG00000183729
KISS1R,Q969F8,KISS1R,ENSG00000116014
KLRF2,D3W0D1,KLRF2,ENSG00000256797
