uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_reason,tags_description
P39019,RS19_HUMAN,False,False,False,,False,False,,False,False,,To_add,,
P54577,SYYC_HUMAN,False,False,False,,False,False,,False,False,,To_add,,
Q9H4G0,E41L1_HUMAN,False,False,False,,False,False,,False,False,,To_add,,
O14939,PLD2_HUMAN,False,False,False,,False,False,,False,False,,To_add,,
P20292,AL5AP_HUMAN,False,False,False,,False,False,,False,False,,To_add,,
P09917,LOX5_HUMAN,False,False,False,,False,False,,False,False,,To_add,,
P25106,ACKR3_HUMAN,True,False,False,,False,True,Atipical_chemokine_receptor_add,False,True,CoReceptor_Acts as coreceptor with CXCR4 for a restricted number of HIV isolates (uniprot),To_comment,Receptor_add,CoReceptor_Acts as coreceptor with CXCR4 for a restricted number of HIV isolates (uniprot)
P06731,CEAM5_HUMAN,True,False,False,,False,False,,False,False,,To_comment,Adhesion_add,
P29323,EPHB2_HUMAN,True,False,False,,False,True,,False,False,,To_comment,Adhesion_add,
P31997,CEAM8_HUMAN,True,False,False,,False,False,,False,False,,To_comment,Adhesion_add,
P40199,CEAM6_HUMAN,True,False,False,,False,False,,False,False,,To_comment,Adhesion_add,
P54756,EPHA5_HUMAN,True,False,False,,False,True,,False,False,,To_comment,Adhesion_add,
P54760,EPHB4_HUMAN,True,False,False,,False,True,,False,False,,To_comment,Adhesion_add,
P57087,JAM2_HUMAN,True,False,False,,False,False,,False,False,,To_comment,Adhesion_add,
Q15375,EPHA7_HUMAN,True,False,False,,False,True,,False,False,,To_comment,Adhesion_add,
Q8N6Q3,CD177_HUMAN,True,False,False,,False,False,,False,False,,To_comment,Adhesion_add,
P54753,EPHB3_HUMAN,True,False,False,,False,True,,False,False,,To_comment,Adhesion_add,Migration
P16471,PRLR_HUMAN,True,False,True,,False,True,Hormone_receptor_add,False,False,,To_add,,cytokine_receptor
P26951,IL3RA_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
P32927,IL3RB_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
P42701,I12R1_HUMAN,True,False,False,,False,True,Cytokine_receptor,False,False,,To_add,,cytokine_receptor
P78552,I13R1_HUMAN,True,False,False,,False,True,Cytokine_receptor,False,False,,To_add,,cytokine_receptor
Q01344,IL5RA_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
Q08334,I10R2_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
Q13651,I10R1_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
Q14626,I11RA_HUMAN,True,False,False,,False,True,Cytokine_receptor,False,False,,To_add,,cytokine_receptor
Q14627,I13R2_HUMAN,True,False,False,,False,True,Cytokine_receptor,False,False,,To_add,,cytokine_receptor
Q6UWB1,I27RA_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
Q6UXL0,I20RB_HUMAN,True,False,False,,False,True,Cytokine_receptor,False,False,,To_add,,cytokine_receptor
Q8IU57,INLR1_HUMAN,True,False,False,,False,True,Interferon_receptor,False,False,,To_add,,cytokine_receptor
Q8N6P7,I22R1_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
Q99650,OSMR_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
Q99665,I12R2_HUMAN,True,False,False,,False,True,Cytokine_receptor,False,False,,To_add,,cytokine_receptor
Q9HBE5,IL21R_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
Q9UHF4,I20RA_HUMAN,True,False,False,,False,True,Cytokine_receptor,False,False,,To_add,,cytokine_receptor
P14784,IL2RB_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
P31785,IL2RG_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,cytokine_receptor
P16284,PECA1_HUMAN,True,False,False,,False,True,Inflammation,False,False,,To_add,,
O75144,ICOSL_HUMAN,True,False,False,,False,False,,False,False,,To_add|To_comment,Extracellular_add,Iglike
O95256,I18RA_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,Iglike
P13747,HLAE_HUMAN,True,False,False,,False,False,,False,False,,To_add | To_comment,Extracellular_add,Iglike
P17693,HLAG_HUMAN,True,False,False,,False,True,,False,True,,To_add | To_comment,Extracellular_add | Receptor_add,Iglike
P30511,HLAF_HUMAN,True,False,False,,False,False,,False,True,HLA,To_add,,Iglike
P32942,ICAM3_HUMAN,True,False,False,,False,False,,False,False,,To_add | To_comment,Extracellular_add,Iglike
P33681,CD80_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Extracellular_add,Iglike
P36888,FLT3_HUMAN,True,False,False,,False,True,Cytokine_receptor,False,False,,To_add | To_comment,Extracellular_add,Iglike
P59901,LIRA4_HUMAN,True,False,False,,False,True,,False,False,,To_add,,Iglike
P61769,B2MG_HUMAN,True,False,True,,False,False,,False,False,,To_add,,Iglike
Q01973,ROR1_HUMAN,True,False,False,,False,True,,False,False,,To_add,,Iglike
Q12866,MERTK_HUMAN,True,False,False,,False,True,,False,False,,To_add,,Iglike
Q13332,PTPRS_HUMAN,True,False,False,,False,True,,False,False,,To_add,,Iglike
Q13478,IL18R_HUMAN,True,False,False,,False,True,Cytokine_receptor_add,False,False,,To_add,,Iglike
Q15116,PDCD1_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Iglike | Receptor | Extracellular_add,Uniprot description
Q16288,NTRK3_HUMAN,True,False,False,,False,True,,False,False,,To_add,,Iglike
Q6IA17,SIGIR_HUMAN,True,False,False,,False,False,,False,False,,To_add,,Iglike
Q8N423,LIRB2_HUMAN,True,False,False,,False,True,Inhibitory LILRs_add,False,False,,To_add,,Iglike
Q8N441,FGRL1_HUMAN,True,False,False,,False,True,,False,False,,To_add,,Iglike
Q8NFZ8,CADM4_HUMAN,True,False,False,,False,False,,False,False,,To_add,,Iglike
Q8TDQ0,HAVR2_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Receptor_add | Extracellular_add,Iglike. Cell surface receptor implicated in modulating innate and adaptive immune responses (uniprot)
Q9HB29,ILRL2_HUMAN,True,False,False,,False,True,Cytokine_receptor,False,False,,To_add,,Iglike
Q9P1W8,SIRPG_HUMAN,True,False,False,,False,False,,False,False,,To_add,,Iglike
P10747,CD28_HUMAN,True,False,False,,False,False,,False,False,,To_add | To_comment,Extracellular_add,Iglike
P05362,ICAM1_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,,Iglike | ligandIUPHAR
P13598,ICAM2_HUMAN,True,False,False,,False,False,,False,False,,To_add | To_comment,Extracellular_add,Iglike | ligandIUPHAR
P19320,VCAM1_HUMAN,True,False,False,,False,False,,False,False,,To_add | To_comment,,Iglike | ligandIUPHAR
O95727,CRTAM_HUMAN,True,False,False,,False,False,,False,False,,To_add | To_comment,Extracellular_add,Iglike | Possible_receptor
O00241,SIRB1_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Receptor_add,Iglike | Receptor_add
P40200,TACT_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Receptor_add | Extracellular_add,Iglike | Receptor_add
P78324,SHPS1_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Receptor_add | Extracellular_add,Iglike | Receptor_add
Q01151,CD83_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Receptor_add,Iglike | Receptor_add
P06729,CD2_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Receptor_add,Iglike | Receptor_add
Q6UX27,VSTM1_HUMAN,True,False,True,Cytokine,True,True,,False,False,,To_add | To_comment,Receptor_add,Iglike| Receptor_add
Q13705,AVR2B_HUMAN,True,False,False,,False,True,,False,False,,To_add,,IUPHAR
P36896,ACV1B_HUMAN,True,False,False,,False,True,,False,False,,To_add,,IUPHAR
O43914,TYOBP_HUMAN,False,True,False,,False,False,,False,False,,To_add,,complex
O00175,CCL24_HUMAN,False,False,True,Cytokine,True,False,,False,False,,To_add,,
