ensembl,gene_name,hgnc_symbol,uniprot
ENSG00000204642,HLA-F,HLA-F,P30511
ENSG00000204632,HLA-G,HLA-G,P17693
ENSG00000206503,HLA-A,HLA-A,HLAA
ENSG00000204592,HLA-E,HLA-E,P13747
ENSG00000204287,HLA-DRA,HLADRA,HLADRA
ENSG00000198502,HLA-DRB5,HLA-DRB5,HLADRB5
ENSG00000196126,HLA-DRB1,HLA-DRB1,HLADRB1
ENSG00000196735,HLA-DQA1,HLA-DQA1,HLADQA1
ENSG00000179344,HLA-DQB1,HLA-DQB1,HLADQB1
ENSG00000237541,HLA-DQA2,HLA-DQA2,HLADQA2
ENSG00000232629,HLA-DQB2,HLA-DQB2,HLADQB2
ENSG00000241106,HLA-DOB,HLA-DOB,HLADOB
ENSG00000204525,HLA-C,HLA-C,HLAC
ENSG00000234745,HLA-B,HLA-B,HLAB
ENSG00000242574,HLA-DMB,HLA-DMB,HLADMB
ENSG00000204257,HLA-DMA,HLA-DMA,HLADMA
ENSG00000204252,HLA-DOA,HLA-DOA,HLADOA
ENSG00000231389,HLA-DPA1,HLA-DPA1,HLADPA1
ENSG00000223865,HLA-DPB1,HLA-DPB1,HLADPB1
