ensembl	gene_name	hgnc_symbol	uniprot
ENSG00000204642	HLAF	HLAF	HLAF
ENSG00000204632	HLAG_HUMAN	HLAG_HUMAN	P17693
ENSG00000206503	HLAA	HLAA	HLAA
ENSG00000204592	HLAE_HUMAN	HLAE_HUMAN	P13747
ENSG00000204287	HLADRA	HLADRA	HLADRA
ENSG00000198502	HLADRB5	HLADRB5	HLADRB5
ENSG00000196126	HLADRB1	HLADRB1	HLADRB1
ENSG00000196735	HLADQA1	HLADQA1	HLADQA1
ENSG00000179344	HLADQB1	HLADQB1	HLADQB1
ENSG00000237541	HLADQA2	HLADQA2	HLADQA2
ENSG00000232629	HLADQB2	HLADQB2	HLADQB2
ENSG00000241106	HLADOB	HLADOB	HLADOB
ENSG00000204525	HLAC	HLAC	HLAC
ENSG00000234745	HLAB	HLAB	HLAB
ENSG00000242574	HLADMB	HLADMB	HLADMB
ENSG00000204257	HLADMA	HLADMA	HLADMA
ENSG00000204252	HLADOA	HLADOA	HLADOA
ENSG00000231389	HLADPA1	HLADPA1	HLADPA1
ENSG00000223865	HLADPB1	HLADPB1	HLADPB1
