multidata_name_1,multidata_name_2,score_1,score_2,source,comments_interaction,family,dlrp,iuphar
IL21 receptor,Q9HBE4,1,1,curated,"3tgx, PDB partially, uniprot",,,
IL9 receptor,P15248,1,1,curated,uniprot,cytokine,TRUE,
NKG2D II receptor,Q5VY80,1,1,curated,"Induces NK Cell Activation. Reviewed in PMID: 24223577. 4s0u, PDB partially",,,
LIFR,P15018,1,1,curated,"1pvh, PDB partially",cytokine,TRUE,
IL36 receptor,Q8WWZ1,1,1,curated,to check,,,
IL3 receptor,P08700,1,1,curated,uniprot,cytokine,TRUE,
IL35 receptor,IL35,1,1,curated,uniprot,,,
IL1 receptor inhibitor,P01583,1,1,curated,"low affinity, uniprot",cytokine,TRUE,
IL33 receptor,O95760,1,1,curated,uniprot,,,
IL27 receptor,IL27,1,1,curated,uniprot,,,
IL23 receptor,IL23,1,1,curated,uniprot,,,
GMCSFR,P04141,1,1,curated,"4nkq, PDB",cytokine,TRUE,
IL1 receptor,P01583,1,1,curated,uniprot,,,
IL7 receptor,P13232,1,1,curated,"3di2, PDB partially",cytokine,TRUE,
Glycoprotein Ib  complex,P00734,1,1,curated,"1hyr, PDB partially",,,
OSMR,P13725,1,1,curated,uniprot,cytokine,TRUE,
LIFR,P13725,1,1,curated,uniprot,cytokine,,
IL18 receptor,Q14116,1,1,curated,"3wo3, PDB partially",cytokine,TRUE,
IL17 receptor AC,IL17 AF,1,1,curated,uniprot,,,
IL12 receptor,IL12,1,1,curated,uniprot,cytokine,TRUE,
IL28 receptor,Q8IZI9,1,1,curated,"5t5w, PDB",,,
SIRB1 complex,Q08722,1,1,curated,"2jjs, PDB partially",,,
IL22 receptor,Q9GZX6,1,1,curated,"3dgc, PDB",,,
aVb6 complex,P01137,1,1,curated,"5ffo, PDB",,,
NKG2D II receptor,Q29983,1,1,curated,"1hyr, PDB partially, Induces NK Cell Activation. Reviewed in PMID: 24223577",,,
NKG2D II receptor,Q29980,1,1,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577,,,
CNTF-1R,Q9UBD9,1,1,curated,uniprot,,,
IL1 receptor,P01584,1,1,curated,"4dep, PDB",,,
IL1 receptor inhibitor,P01584,1,1,curated,"3o4o, PDB",,,
FcRn complex,P02768,1,1,curated,"4n0u, PDB & 4k71, PDB",,,
IL10 receptor,P22301,1,1,curated,"1j7v, PDB partially",cytokine,TRUE,
TSLPR,Q969D9,1,1,curated,"5j11, PDB",,,
NKG2D II receptor,Q9BZM4,1,1,curated,"Induces NK Cell Activation. Reviewed in PMID: 24223577. 1kcg, PDB partially",,,
IL6 receptor,P05231,1,1,curated,"1p9m, PDB",cytokine,TRUE,
IL17 receptor AC,Q16552,1,1,curated,uniprot,,,
IL5 receptor,P05113,1,1,curated,"3qt2, PDB partially",cytokine,TRUE,
IL4 receptor,P05112,1,1,curated,"3qb7, PDB",cytokine,TRUE,
IL13 receptor,P05112,1,1,curated,"3bpn, PDB",cytokine,TRUE,
BMPR1B_BMPR2,P36894,1,1,curated,"3evs,  PDB complex higher affinity",,,
TSLPR,Q9HC73,1,1,curated,DOI  10.1038/ncomms14937,,,
IL1 receptor inhibitor,P18510,1,1,curated,low affinity,,,
IL1 receptor,P18510,1,1,curated,"1ira, PDB partially",,,
Type I IFNR,P01563,1,1,curated,"3se3, PDB",IFN,TRUE,
IL36 receptor,Q9NZH8,1,1,curated,uniprot,,,
CD8 receptor,P06239,1,1,curated,"1q69, PDB partially",,,
IL20 receptor Type II,Q13007,1,1,curated,uniprot,,,
CNTF-1R,P26441,1,1,curated,uniprot,cytokine,TRUE,
IL36 receptor,Q9UBH0,1,1,curated,uniprot,,,
IL20 receptor Type I,Q9UHD0,1,1,curated,uniprot,,,
IL20 receptor Type II,Q9NYY1,1,1,curated,uniprot,,,
IL20 receptor Type I,Q9NYY1,1,1,curated,uniprot,,,
IL37 receptor,Q9NZH6,1,1,curated,"See paper Nold-Petry et al., 2015",,,
IL13 receptor,P35225,1,1,curated,"3bpo, PDB",,,
IL17 receptor AE,Q9P0M4,1,1,curated,uniprot,,,
IL15 receptor,P40933,1,1,curated,"Need expression of IL15RA (Q13261) in other cells. 2z3q, PDB partially",cytokine,TRUE,
IL17 receptor AC,Q96PD4,1,1,curated,uniprot,,,
IL2 receptor_I,P60568,1,1,curated,"3qaz, PDB",cytokine,TRUE,
IL2 receptor_HA,P60568,1,1,curated,"2b5i, PDB",,,
IL17 receptor AB,Q9H293,1,1,curated,NA IL17E called IL25,,,
IL36 receptor,Q9UHA7,1,1,curated,uniprot,,,
IL36 receptor,Q9NZH7,1,1,curated,uniprot,,,
Glycoprotein Ib  complex,P04275,1,1,curated,"1m10, PDB partially . Platets needed for its activation.",,,
IL26 receptor,Q9NPH9,1,1,curated,"Rutz et al., Nat Rev. 2014",,,
IL20 receptor Type I,Q13007,1,1,curated,uniprot,,,
Q12918,Q9UHP7,1,1,curated,Induces NK Cell Inhibition. Reviewed in PMID: 24223577,,,
Q92478,Q9NZS2,1,1,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577,,,
D3W0D1,Q6UVW9,1,1,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577,,,
NKG2D II receptor,Q9BZM6,1,1,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577,,,
NKG2D II receptor,Q9BZM5,1,1,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577,,,
NKG2D II receptor,Q8TD07,1,1,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577,,,
NKG2D II receptor,Q6H3X3,1,1,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577,,,
P13747,P26715,1,1,curated,Induces NK Cell Inhibition. Reviewed in PMID: 24223577,,,
P13747,P26718,1,1,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577,,,
P06731,P13688,1,1,curated,Induces NK Cell Inhibition. Reviewed in PMID:24987108,,,
