target,target_id,target_gene_symbol,target_uniprot,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,type,action,action_comment,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
12S-LOX,1387,ALOX12,P18054,,,,,,Human,ML355,8752,,,252827410,Inhibitor,Inhibition,"",f,t,"",pIC50,,6.46999979019165,,IC50,,340,,=,"","","",24393039
15-LOX-1,1388,ALOX15,P16050,,,,,,Human,PKUMDL_MH_1001,9141,,,315661226,Allosteric modulator,Positive,"",f,f,"",pKd,,5.40999984741211,,Kd,,3900,,=,"Determined by surface plasmon
resonance (SPR).","","",26290290
15-LOX-1,1388,ALOX15,P16050,,,,,,Human,compound 34 [PMID: 20866075],8751,,,252827409,Inhibitor,Inhibition,"",f,t,"",pKi,,8,,Ki,,10,,<,"","","",20866075
15-LOX-2,1389,ALOX15B,O15296,,,,,,Human,compound 21n [PMID: 17656086],8750,,,252827408,Inhibitor,Inhibition,"",f,f,"",pIC50,,7.28999996185303,,IC50,,51,,=,"","","",17656086
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,,,,,,Human,7-hydroxystaurosporine,7907,,,249565590,Inhibitor,Inhibition,"",f,t,"",pIC50,,7.48000001907349,,IC50,,33,,=,"","","",11896604
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,,,,,,Human,BX-795,8006,,,249565686,Inhibitor,Inhibition,"",f,t,"",pIC50,,7.96000003814697,,IC50,,11,,=,In a direct kinase activity measuring phosphorylation od a small peptide substrate mimetic,"","",15772071
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,,,,,,Human,BX-912,8007,,,249565687,Inhibitor,Inhibition,"",f,t,"",pIC50,,7.59000015258789,,IC50,,26,,=,In a direct kinase activity measuring phosphorylation od a small peptide substrate mimetic,"","",15772071
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,,,,,,Human,compound 1 [PMID: 20005102],8181,,,249565861,Inhibitor,Inhibition,"",f,f,"",pIC50,,7.30000019073486,,IC50,,50,,=,"","","",20005102
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,,,,,,Human,GSK2334470,8008,,,249565688,Inhibitor,Inhibition,"",f,t,"",pIC50,,8.60000038146973,,IC50,,2.50999999046326,,=,"","","",21341675
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,,,,,,Human,OSU-03012,8005,,,249565685,Inhibitor,Inhibition,"",f,t,"",pIC50,,8.05000019073486,,IC50,,9,,=,"","","",15205346
