"","protein_uniprot","ensembl","gene_name"
"3","Q92835","ENSG00000281614","INPP5D"
"5","Q9NPH6","ENSG00000280584","OBP2B"
"7","Q9NUC0","ENSG00000281230","SERTAD4"
"8","P53985","ENSG00000281917","SLC16A1"
"10","Q8WYB5","ENSG00000281813","KAT6B"
"11","Q5VTY9","ENSG00000280680","HHAT"
"13","O75683","ENSG00000281309","SURF6"
"15","Q15418","ENSG00000281877","RPS6KA1"
"17","O95299","ENSG00000281434","NDUFA10"
"18","P59923","ENSG00000283034","ZNF445"
"20","Q9ULC6","ENSG00000281459","PADI1"
"21","Q15528","ENSG00000281022","MED22"
"23","Q6ZMS4","ENSG00000281626","ZNF852"
"24","Q9ULW8","ENSG00000280549","PADI3"
"26","Q9UM07","ENSG00000280908","PADI4"
"27","Q9P0L1","ENSG00000281894","ZKSCAN7"
"30","P62424","ENSG00000280858","RPL7A"
"32","Q6TGC4","ENSG00000280949","PADI6"
"33","Q9P258","ENSG00000281540","RCC2"
"35","Q6AZW8","ENSG00000280661","ZNF660"
"36","Q15526","ENSG00000280627","SURF1"
"39","Q676U5","ENSG00000281089","ATG16L1"
"41","O14709","ENSG00000281709","ZNF197"
"43","P13682","ENSG00000281306","ZNF35"
"45","O15260","ENSG00000280951","SURF4"
"47","Q8TBZ5","ENSG00000281448","ZNF502"
"49","Q96CX3","ENSG00000281661","ZNF501"
"50","Q96AT1","ENSG00000281665","KIAA1143"
"52","Q9GZR2","ENSG00000280706","REXO4"
"54","Q9NS87","ENSG00000280610","KIF15"
"57","P10523","ENSG00000281857","SAG"
"58","Q69YG0","ENSG00000280516","TMEM42"
"59","P49221","ENSG00000281886","TGM4"
"61","Q16760","ENSG00000280873","DGKD"
"63","Q76LX8","ENSG00000281244","ADAMTS13"
"66","Q9NYG2","ENSG00000280674","ZDHHC3"
"67","Q9UGQ2","ENSG00000280479","CACFD1"
"69","Q9UGQ3","ENSG00000281165","SLC2A6"
"72","Q4VC05","ENSG00000282873","BCL7A"
"76","Q9HAP2","ENSG00000281178","MLXIP"
"78","O60812","ENSG00000282175","HNRNPCL1"
"79","Q9BZR8","ENSG00000281449","BCL2L14"
"81","Q14644","ENSG00000280477","RASA3"
"82","O60811","ENSG00000282817","PRAMEF2"
"83","O60810","ENSG00000282584","PRAMEF4"
"84","O60809","ENSG00000282663","PRAMEF10"
"85","Q5VXH5","ENSG00000279195","PRAMEF7"
"87","P06315","ENSG00000282172","IGKV5-2"
"88","Q5VXH4","ENSG00000282119","PRAMEF6"
"89","Q6PIV2","ENSG00000281277","FOXR1"
"91","A3QJZ7","ENSG00000282437","PRAMEF27"
"93","A6NGN4","ENSG00000282566","PRAMEF25"
"94","O75581","ENSG00000281324","LRP6"
"96","B7ZW38","ENSG00000282559","HNRNPCL3"
"97","Q86UT8","ENSG00000280975","CCDC84"
"99","B2RXH8","ENSG00000282530","HNRNPCL2"
"101","P0DMR1","ENSG00000282095","HNRNPCL4"
"104","Q5TYX0","ENSG00000282424","PRAMEF5"
"106","P62851","ENSG00000280831","RPS25"
"107","Q5VWM4","ENSG00000282583","PRAMEF8"
"108","Q68J44","ENSG00000281660","DUPD1"
"109","Q9H8J5","ENSG00000281818","MANSC1"
"112","Q5VWM5","ENSG00000282688","PRAMEF15"
"114","Q969J3","ENSG00000280689","BORCS5"
"116","Q9BY84","ENSG00000280962","DUSP16"
"118","Q9Y296","ENSG00000280495","TRAPPC4"
"120","A8MZ59","ENSG00000280774","LEUTX"
"121","Q9Y463","ENSG00000281320","DYRK1B"
"123","Q9Y4L1","ENSG00000280682","HYOU1"
"126","P22087","ENSG00000280548","FBL"
"127","P43686","ENSG00000281221","PSMC4"
"129","Q86UE3","ENSG00000281526","ZNF546"
"130","Q9Y6R6","ENSG00000281601","ZNF780B"
"133","O75290","ENSG00000280568","ZNF780A"
"135","Q9Y6R7","ENSG00000281123","FCGBP"
"137","P08397","ENSG00000281702","HMBS"
"138","O43826","ENSG00000281500","SLC37A4"
"139","Q8NBU5","ENSG00000283024","ATAD1"
"140","O43310","ENSG00000282825","CTIF"
"142","B2CW77","ENSG00000283059","KLLN"
"144","Q14331","ENSG00000283153","FRG1"
"147","Q8TDW7","ENSG00000282908","FAT3"
"148","Q92918","ENSG00000282928","MAP4K1"
"151","P42658","ENSG00000282974","DPP6"
"152","P01602","ENSG00000282801","IGKV1-5"
"157","P04433","ENSG00000282823","IGKV3-11"
"166","Q9P2D0","ENSG00000283068","IBTK"
"169","Q96QZ7","ENSG00000282956","MAGI1"
"178","Q9UBQ5","ENSG00000282986","EIF3K"
"179","Q13641","ENSG00000283085","TPBG"
"180","O43707","ENSG00000282844","ACTN4"
"183","Q70HW3","ENSG00000282739","SLC25A26"
"184","P47929","ENSG00000282902","LGALS7B"
"185","P47929","ENSG00000283082","LGALS7"
"188","P56470","ENSG00000282992","LGALS4"
"189","Q96JA1","ENSG00000282243","LRIG1"
"190","Q13011","ENSG00000282853","ECH1"
"193","P14866","ENSG00000282947","HNRNPL"
"196","Q6ZS11","ENSG00000282895","RINL"
"198","Q8IXJ6","ENSG00000283100","SIRT2"
"200","Q15653","ENSG00000282905","NFKBIB"
"202","I3L3R5","ENSG00000283099","CCER2"
"203","Q9NP81","ENSG00000283104","SARS2"
"206","O15235","ENSG00000283018","MRPS12"
"207","Q96EF6","ENSG00000282954","FBXO17"
"210","Q8NI29","ENSG00000283021","FBXO27"
"211","Q6ZSI9","ENSG00000282901","CAPN12"
"212","Q9UBM8","ENSG00000283530","MGAT4C"
"214","P10323","ENSG00000283539","ACR"
"216","Q6W4X9","ENSG00000283350","MUC6"
"218","Q8WZ92","ENSG00000280931","OR5P2"
"219","Q8WZ94","ENSG00000280808","OR5P3"
"220","Q8NH74","ENSG00000280899","OR10A6"
"221","P58181","ENSG00000281680","OR10A3"
"222","Q86W26","ENSG00000281166","NLRP10"
"225","P98088","ENSG00000283158","MUC5AC"
"226","Q9BYB0","ENSG00000283243","SHANK3"
"227","O00303","ENSG00000280606","EIF3F"
"231","P56556","ENSG00000281013","NDUFA6"
"242","P05408","ENSG00000281931","SCG5"
"246","Q9UGU0","ENSG00000280467","TCF20"
"249","O60565","ENSG00000282046","GREM1"
"255","Q6P4F7","ENSG00000282168","ARHGAP11A"
"257","Q9UGU0","ENSG00000281897","TCF20"
"261","P05814","ENSG00000283030","CSN2"
"262","A3QJZ7","ENSG00000283425","PRAMEF27"
"263","Q9Y6M0","ENSG00000282838","PRSS21"
"265","Q9C0D0","ENSG00000282833","PHACTR1"
"268","A6NGN4","ENSG00000283348","PRAMEF25"
"269","Q9UGU0","ENSG00000283026","TCF20"
"271","P02808","ENSG00000282891","STATH"
"272","Q15813","ENSG00000282984","TBCE"
"274","B7ZW38","ENSG00000283292","HNRNPCL3"
"275","O43390","ENSG00000282958","HNRNPR"
"278","B2RXH8","ENSG00000283370","HNRNPCL2"
"280","P15516","ENSG00000282967","HTN3"
"282","Q4G0P3","ENSG00000283022","HYDIN"
"285","Q7Z5Q1","ENSG00000283087","CPEB2"
"287","P0DMR1","ENSG00000283231","HNRNPCL4"
"288","Q96DA0","ENSG00000283056","ZG16B"
"291","Q5TYX0","ENSG00000283150","PRAMEF5"
"292","P15515","ENSG00000283046","HTN1"
"293","Q5VWM4","ENSG00000283387","PRAMEF8"
"294","Q9Y6X6","ENSG00000282848","MYO16"
"297","Q9GZN4","ENSG00000282937","PRSS22"
"299","Q5VWM5","ENSG00000283478","PRAMEF15"
"300","Q9C0F3","ENSG00000283009","ZNF436"
"302","Q6MZM9","ENSG00000282868","PRR27"
"304","A3QJZ6","ENSG00000283488","PRAMEF18"
"305","Q8NCR0","ENSG00000282880","B3GALNT2"
"307","O75764","ENSG00000282941","TCEA3"
"309","Q68DA7","ENSG00000282513","FMN1"
"311","P50150","ENSG00000282972","GNG4"
"312","Q9UGU0","ENSG00000282892","TCF20"
"315","Q8IUD2","ENSG00000283017","ERC1"
"317","Q8TDY4","ENSG00000282854","ASAP3"
"319","P23468","ENSG00000282932","PTPRD"
"322","P22676","ENSG00000282830","CALB2"
"325","Q9HC47","ENSG00000282841","CTAGE1"
