uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_description,tags_reason,pfam
A0A075B6P5,KV228_HUMAN,True,False,True,,False,False,,False,True,Ig chain,,Ig chain,,
A0A075B6S6,KVD30_HUMAN,True,False,True,,False,False,,False,True,Ig chain,,Ig chain,,
A0A087WVF3,TBC3D_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A0A087WXS9,TBC3I_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A0A087X179,TBC3E_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A0A087X1G2,TBC3K_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A0A0A0MS15,HV349_HUMAN,True,False,False,,False,True,,False,True,Ig chain,,Ig chain,,
A0A0B4J1V1,HV321_HUMAN,True,False,False,,False,True,,False,True,Ig chain,,Ig chain,,
A0A0B4J2F0,PIOS1_HUMAN,False,False,True,,False,False,,False,False,,,,,
A0A0C4DH25,KVD20_HUMAN,True,False,True,,False,False,,False,True,Ig chain,,Ig chain,,
A0A0C4DH73,KV112_HUMAN,True,False,True,,False,False,,False,True,Ig chain,,Ig chain,,
A0A0C5B5G6,MOTSC_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
A0A5B9,TRBC2_HUMAN,True,False,False,,False,True,,False,False,,To_remove,no ensembl,,
A0AVI2,FR1L5_HUMAN,True,False,False,,False,False,,False,False,,,,,
A0FGR8,ESYT2_HUMAN,False,True,False,,False,False,,False,False,,,,,
A0FGR9,ESYT3_HUMAN,False,True,False,,False,False,,False,False,,,,,
A0PJK1,SC5AA_HUMAN,True,False,False,,False,False,,False,False,,,,,
A1A4S6,RHG10_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A1A4Y4,IRGM_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A1A5B4,ANO9_HUMAN,True,False,False,,False,False,,False,False,,,,,
A1E959,ODAM_HUMAN,False,False,True,,False,False,,False,False,,,,,
A1KXE4,F168B_HUMAN,True,False,False,,False,False,,False,False,,To_comment,,Adhesion_add,
A1KZ92,PXDNL_HUMAN,False,False,True,,False,False,,False,False,,,,,
A1L1A6,IGS23_HUMAN,True,False,False,,False,True,,False,False,,To_add,Igfamily (uniprot),,
A1L453,PRS38_HUMAN,False,False,True,,False,False,,False,False,,,,,
A1L4H1,SRCRL_HUMAN,False,False,True,,False,False,,False,False,,,,,
A2CJ06,DYTN_HUMAN,True,False,False,,False,False,,False,False,,,,,
A2IDD5,CCD78_HUMAN,True,False,False,,False,False,,False,False,,,,,
A2RUU4,COLL1_HUMAN,False,False,True,,False,False,,False,False,,,,,
A2VDJ0,T131L_HUMAN,True,False,False,,False,False,,False,False,,,,,
A2VEC9,SSPO_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
A3KFT3,OR2M5_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A3KMH1,VWA8_HUMAN,False,False,True,,False,False,,False,False,,,,,
A4D0S4,LAMB4_HUMAN,False,False,True,,False,False,,False,False,,,laminin,,
A4D1S0,KLRG2_HUMAN,True,False,False,,False,True,KLR_add,False,False,,To_add | To_comment,Killer cell lectin-like receptor subfamily | Receptor_add (uniprot),Receptor_add,PF00059;
A4D1S5,RAB19_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A4D1T9,PRS37_HUMAN,False,False,True,,False,False,,False,False,,,,,
A4D2G3,O2A25_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A4D2P6,GRD2I_HUMAN,True,False,False,,False,False,,False,False,,,,,
A5D8T8,CL18A_HUMAN,False,False,True,,False,False,,False,False,,,,,
A5PKW4,PSD1_HUMAN,True,False,False,,False,False,,False,False,,,,,
A5X5Y0,5HT3E_HUMAN,True,False,False,,False,True,,False,False,,,,,
A6BM72,MEG11_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6H8M9,CDHR4_HUMAN,True,False,False,,False,False,,False,False,,To_add,Cadherin,,
A6NC51,T150B_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NC86,PINLY_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NCI4,VWA3A_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NCV1,O6C74_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6ND01,JUNO_HUMAN,True,False,False,,False,True,,False,False,,,,,
A6ND48,O14I1_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NDA9,LRIT2_HUMAN,True,False,False,,False,False,,False,False,,To_add,Iglike,,
A6NDB9,PALM3_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NDH6,O5H15_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NDL8,O6C68_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NDS4,TBC3B_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A6NDV4,TMM8B_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NE02,BTBDH_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NER0,TBC3F_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A6NET4,OR5K3_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NF89,OR6C6_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NFA1,TIKI2_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NFC9,OR2W5_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NFQ2,TCAF2_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NFU0,F187A_HUMAN,True,False,False,,False,False,,False,False,,To_add,Iglike,,
A6NFZ4,FA24A_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NG13,MGT4D_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NGN9,IGLO5_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NGW2,STRCL_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
A6NGY5,O51F1_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NGZ8,SMIM9_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NH00,OR2T8_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NHA9,O4C46_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NHG9,O5H14_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NHN0,OTOL1_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NHN6,NPB15_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NI61,TMM8C_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NI73,LIRA5_HUMAN,True,False,True,,False,True,,False,False,,,,,
A6NIE9,PRS29_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
A6NIJ9,O6C70_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NIZ1,RP1BL_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A6NJ69,IGIP_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NJW9,CD8BL_HUMAN,True,False,False,,False,False,,False,False,,To_remove,no ensembl,,
A6NJZ3,O6C65_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NKK0,OR5H1_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NKQ9,CGB1_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,
A6NL08,O6C75_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NL26,OR5BL_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NLE4,SIM23_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NLU5,VTM2B_HUMAN,True,False,False,,False,False,,False,False,,To_add | To_comment,Iglike | Possible_receptor,,
A6NM03,O2AG2_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NM45,CLD24_HUMAN,True,False,False,,False,False,,False,False,,To_comment,Claudins,Adhesion_add,
A6NM76,O6C76_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NMB1,SIG16_HUMAN,True,False,False,,False,False,,False,False,,To_remove,no ensembl,,
A6NMD0,IFM10_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NMS3,OR5K4_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NMU1,O52A4_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NMY6,AXA2L_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NMZ5,O4C45_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NMZ7,CO6A6_HUMAN,False,False,True,,False,False,,False,False,,,Collagen,,PF01391;PF00092;
A6NN92,CXE1_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NNB3,IFM5_HUMAN,True,False,False,,False,False,,False,False,,,,,
A6NND4,O2AT4_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
A6NNL5,CO061_HUMAN,False,False,True,,False,False,,False,False,,,,,
A6NNS2,DRS7C_HUMAN,False,False,True,,False,False,,False,False,,,,,
A7KAX9,RHG32_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
A8K2U0,A2ML1_HUMAN,False,False,True,,False,False,,False,False,,,,,
A8K4G0,CLM7_HUMAN,True,False,False,,False,True,,False,False,,,,,
A8K7I4,CLCA1_HUMAN,False,True,True,,False,False,,False,False,,,,,
A8MPY1,GBRR3_HUMAN,True,False,False,,False,False,,False,False,,,,,
A8MTI9,PRS47_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
A8MTL9,HMSD_HUMAN,False,False,True,,False,False,,False,False,,,,,
A8MTW9,YB043_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
A8MUN3,YQ048_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
A8MV23,SERP3_HUMAN,False,False,True,,False,False,,False,False,,,,,
A8MVW5,HECA2_HUMAN,True,False,False,,False,False,,False,False,,To_add,Iglike,,
A8MVZ5,BTNLA_HUMAN,True,False,False,,False,False,,False,False,,To_remove,no ensembl,,
A8MXK1,VSTM5_HUMAN,True,False,False,,False,False,,False,False,,To_add | To_comment,Iglike | Possible_receptor,,
A8MXU0,D108A_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
A8MYU2,KCNU1_HUMAN,True,False,False,,False,False,,False,False,,,,,
A8MZH6,OOSP1_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
A8TX70,CO6A5_HUMAN,False,False,True,,False,False,,False,False,,,Collagen,,PF01391;PF00092;
B0I1T2,MYO1G_HUMAN,False,True,False,,False,False,,False,False,,,,,
B1AKI9,ISM1_HUMAN,False,False,True,,False,False,,False,False,,,,,
B2RN74,O11HC_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
B2RNN3,C1T9B_HUMAN,False,False,True,,False,False,,False,False,,,,,
B2RUY7,VWC2L_HUMAN,False,False,True,,False,False,,False,False,,,,,
B3GLJ2,PATE3_HUMAN,False,False,True,,False,False,,False,False,,,,,
B3SHH9,TM114_HUMAN,True,False,False,,False,False,,False,False,,,,,
B4DS77,SHSA9_HUMAN,True,False,False,,False,False,,False,False,,,,,
B6A8C7,TARM1_HUMAN,True,False,False,,False,False,,False,False,,To_add,Iglike,,
B7U540,KCJ18_HUMAN,True,False,False,,False,False,,False,False,,,,,
B7Z8K6,TRDC_HUMAN,True,False,False,,False,True,,False,False,,To_remove,no ensembl,,
B9A064,IGLL5_HUMAN,False,False,True,,False,False,,False,True,Ig chain,,Ig chain,,
B9A6J9,TBC3L_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
B9EJG8,T150C_HUMAN,True,False,False,,False,False,,False,False,,,,,
C9J442,CV046_HUMAN,False,False,True,,False,False,,False,False,,,,,
C9J798,RAS4B_HUMAN,False,True,False,,False,False,,False,False,,,,,
C9JDP6,CLD25_HUMAN,True,False,False,,False,False,,False,False,,To_comment,Claudins,Adhesion_add,
C9JL84,HHLA1_HUMAN,False,False,True,,False,False,,False,False,,,,,
C9JUS6,ADM5_HUMAN,False,False,True,,False,False,,False,False,,,,,
C9JXX5,CK094_HUMAN,False,False,True,,False,False,,False,False,,,,,
D3W0D1,KLRF2_HUMAN,True,False,False,,False,True,KLR_add,False,False,,To_comment,,Extracellular_add,PF00059;
E2RYF7,PBMU2_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
E7EML9,PRS44_HUMAN,False,False,True,,False,False,,False,True,,To_remove,no ensembl,,
G3V0H7,SO1B7_HUMAN,True,False,False,,False,False,,False,False,,,,,
H3BQJ8,LY6L_HUMAN,True,False,False,,False,False,,False,False,,To_remove,no ensembl,,
H7C241,CLD34_HUMAN,True,False,False,,False,False,,False,False,,To_comment,Claudins,Adhesion_add,
HLAA,HLAA,True,False,False,,False,True,HLA,False,False,,,,,
HLAB,HLAB,True,False,False,,False,True,HLA,False,False,,,,,
HLAC,HLAC,True,False,False,,False,True,HLA,False,False,,,,,
HLADMA,HLADMA,True,False,False,,False,True,HLA,False,False,,,,,
HLADMB,HLADMB,True,False,False,,False,True,HLA,False,False,,,,,
HLADOA,HLADOA,True,False,False,,False,True,HLA,False,False,,,,,
HLADOB,HLADOB,True,False,False,,False,True,HLA,False,False,,,,,
HLADPA1,HLADPA1,True,False,False,,False,True,HLA,False,False,,,,,
HLADPB1,HLADPB1,True,False,False,,False,True,HLA,False,False,,,,,
HLADQA1,HLADQA1,True,False,False,,False,True,HLA,False,False,,,,,
HLADQA2,HLADQA2,True,False,False,,False,True,HLA,False,False,,,,,
HLADQB1,HLADQB1,True,False,False,,False,True,HLA,False,False,,,,,
HLADQB2,HLADQB2,True,False,False,,False,True,HLA,False,False,,,,,
HLADRA,HLADRA,True,False,False,,False,True,HLA,False,False,,,,,
HLADRB1,HLADRB1,True,False,False,,False,True,HLA,False,False,,,,,
HLADRB5,HLADRB5,True,False,False,,False,True,HLA,False,False,,,,,
HLAF,HLAF,True,False,False,,False,True,HLA,False,False,,,,,
I3L3R5,CCER2_HUMAN,False,False,True,,False,False,,False,False,,,,,
K9M1U5,IFNL4_HUMAN,False,False,True,Cytokine,True,False,,False,True,,To_remove,no ensembl,,
M5A8F1,SUPYN_HUMAN,False,False,True,,False,False,,False,True,retrovirus,,retrovirus,,
O00141,SGK1_HUMAN,True,False,False,,False,False,,False,False,,,,,
O00144,FZD9_HUMAN,True,False,False,,False,True,,False,False,,To_comment,,Extracellular_add,PF01534;PF01392;
O00155,GPR25_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00001;
O00159,MYO1C_HUMAN,False,True,False,,False,False,,False,False,,,,,
O00161,SNP23_HUMAN,False,True,False,,False,False,,False,False,,,,,
O00165,HAX1_HUMAN,False,True,False,,False,False,,False,False,,,,,
O00175,CCL24_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;
O00180,KCNK1_HUMAN,True,False,False,,False,False,,False,False,,,,,
O00182,LEG9_HUMAN,False,True,True,Immune-related,True,False,,False,False,,To_comment,Ligand for HAVCR2/TIM3 (uniprot),secretedhigh_add | peripheral_add,PF00337;
O00186,STXB3_HUMAN,True,False,False,,False,False,,False,False,,,,,
O00187,MASP2_HUMAN,False,False,True,,False,False,,False,False,,,,,
O00206,TLR4_HUMAN,True,False,False,,False,True,,False,True,microbe recognition,,,,
O00212,RHOD_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
O00213,APBB1_HUMAN,True,False,False,,False,False,,False,False,,,,,
O00220,TR10A_HUMAN,True,False,False,,False,True,TNF_receptor_add,False,False,,To_add,TNF_receptor_add (uniprot),,PF00531;PF00020;
O00222,GRM8_HUMAN,True,False,False,,False,True,,False,False,,,,,
O00230,CORT_HUMAN,False,False,True,Hormone,True,False,,False,False,,,,,PF03002;
O00238,BMR1B_HUMAN,True,False,False,,False,True,TGFBeta_receptor_add,False,False,,,,,PF01064;PF07714;PF08515;
O00241,SIRB1_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Iglike | Receptor_add,Receptor_add,PF07654;PF07686;
O00253,AGRP_HUMAN,False,False,True,,False,False,,False,False,,,,,PF05039;
O00254,PAR3_HUMAN,True,False,False,,False,True,,False,False,,,,,
O00264,PGRC1_HUMAN,True,False,False,,False,True,,False,False,,To_add,progesterone receptor (uniprot)\,,
O00270,GPR31_HUMAN,True,False,False,,False,True,,False,False,,,,,
O00292,LFTY2_HUMAN,False,False,True,Growthfactor | Cytokine,True,False,,False,False,,,,,PF00019;PF00688;
O00294,TULP1_HUMAN,False,True,True,,False,False,,False,False,,,,,
O00295,TULP2_HUMAN,False,False,True,,False,False,,False,False,,,,,
O00299,CLIC1_HUMAN,True,False,False,,False,False,,False,False,,,,,
