Entry;Entry name;Status;Protein names;Gene names;Organism
P00533;EGFR_HUMAN;reviewed;Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1);EGFR ERBB ERBB1 HER1;Homo sapiens (Human)
P05067;A4_HUMAN;reviewed;"Amyloid beta A4 protein (ABPP) (APPI) (APP) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Beta-amyloid precursor protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]";APP A4 AD1;Homo sapiens (Human)
P21802;FGFR2_HUMAN;reviewed;Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332);FGFR2 BEK KGFR KSAM;Homo sapiens (Human)
P11362;FGFR1_HUMAN;reviewed;Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331);FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR;Homo sapiens (Human)
P01130;LDLR_HUMAN;reviewed;Low-density lipoprotein receptor (LDL receptor);LDLR;Homo sapiens (Human)
P04626;ERBB2_HUMAN;reviewed;Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340);ERBB2 HER2 MLN19 NEU NGL;Homo sapiens (Human)
P10721;KIT_HUMAN;reviewed;Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117);KIT SCFR;Homo sapiens (Human)
P07949;RET_HUMAN;reviewed;"Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]";RET CDHF12 CDHR16 PTC RET51;Homo sapiens (Human)
P06213;INSR_HUMAN;reviewed;"Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]";INSR;Homo sapiens (Human)
P03372;ESR1_HUMAN;reviewed;Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1);ESR1 ESR NR3A1;Homo sapiens (Human)
