human_uniprot,human_ENSEMBL,human_gene_name,mouse_uniprot,mouse_ENSEMBL,mouse_gene_name,transmembrane,secretion,peripheral
Q13685,ENSG00000127837,AAMP,NA,ENSMUSG00000006299,NA,1,0,0
Q8IZY2,ENSG00000064687,ABCA7,Q91V24,ENSMUSG00000035722,Abca7,1,0,0
O94911,ENSG00000141338,ABCA8,Q8K440,ENSMUSG00000020620,Abca8b,1,0,0
P08183,ENSG00000085563,ABCB1,P06795,ENSMUSG00000028970,Abcb1b,1,0,0
P08183,ENSG00000085563,ABCB1,P21447,ENSMUSG00000040584,Abcb1a,1,0,0
P21439,ENSG00000005471,ABCB4,P21440,ENSMUSG00000042476,Abcb4,1,0,0
Q2M3G0,ENSG00000004846,ABCB5,B5X0E4,ENSMUSG00000072791,Abcb5,1,0,0
Q9NP58,ENSG00000115657,ABCB6 MTABC3 PRP UMAT,Q9DC29,ENSMUSG00000026198,Abcb6,1,0,0
P33527,ENSG00000103222,ABCC1,O35379,ENSMUSG00000023088,Abcc1,1,0,0
Q5T3U5,ENSG00000124574,ABCC10 MRP7 SIMRP7,Q8R4P9,ENSMUSG00000032842,Abcc10,1,0,0
Q92887,ENSG00000023839,ABCC2,Q8VI47,ENSMUSG00000025194,Abcc2,1,0,0
O95255,ENSG00000091262,ABCC6,Q9R1S7,ENSMUSG00000030834,Abcc6,1,0,0
Q09428,ENSG00000006071,ABCC8,NA,ENSMUSG00000040136,NA,1,0,0
Q9UNQ0,ENSG00000118777,ABCG2,NA,ENSMUSG00000029802,NA,1,0,0
P08910,ENSG00000140526,ABHD2 LABH2,Q9QXM0,ENSMUSG00000039202,Abhd2,1,0,0
Q8IZP0,ENSG00000136754,ABI1 SSH3BP1,Q8CBW3,ENSMUSG00000058835,Abi1,1,0,0
P12821,ENSG00000159640,ACE,P09470,ENSMUSG00000020681,Ace,1,0,0
Q9BYF1,ENSG00000130234,ACE2,Q8R0I0,ENSMUSG00000015405,Ace2,1,0,0
O00590,ENSG00000144648,ACKR2,O08707,ENSMUSG00000044534,Ackr2,1,0,0
P25106,ENSG00000144476,ACKR3,P56485,ENSMUSG00000044337,Ackr3,1,0,0
Q9NPB9,ENSG00000129048,ACKR4,Q924I3,ENSMUSG00000079355,Ackr4,1,0,0
P15309,ENSG00000014257,ACPP,Q8CE08,ENSMUSG00000032561,Acpp,1,0,0
P12814,ENSG00000072110,ACTN1,Q7TPR4,ENSMUSG00000015143,Actn1,1,0,0
P36896,ENSG00000135503,ACVR1B,Q61271,ENSMUSG00000000532,Acvr1b,1,0,0
Q13705,ENSG00000114739,ACVR2B,P27040,ENSMUSG00000061393,Acvr2b,1,0,0
P37023,ENSG00000139567,ACVRL1,Q61288,ENSMUSG00000000530,Acvrl1,1,0,0
O14672,ENSG00000137845,ADAM10,O35598,ENSMUSG00000054693,Adam10,1,0,0
O43184,ENSG00000148848,ADAM12,Q61824,ENSMUSG00000054555,Adam12,1,0,0
O75077,ENSG00000114948,ADAM23,Q9R1V7,ENSMUSG00000025964,Adam23,1,0,0
Q9UKQ2,ENSG00000042980,ADAM28,Q9JLN6,ENSMUSG00000014725,Adam28,1,0,0
Q13443,ENSG00000168615,ADAM9,Q61072,ENSMUSG00000031555,Adam9,1,0,0
Q9NPF8,ENSG00000184060,ADAP2 CENTA2,Q8R2V5,ENSMUSG00000020709,Adap2,1,0,0
Q08828,ENSG00000164742,ADCY1,O88444,ENSMUSG00000020431,Adcy1,1,0,0
Q08462,ENSG00000078295,ADCY2,NA,ENSMUSG00000021536,NA,1,0,0
