Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A0A584	TVBK2_HUMAN	reviewed	T cell receptor beta variable 11-2	TRBV11-2 TCRBV21S3A2N2T	Homo sapiens (Human)	115
Q9BXU3	TX13A_HUMAN	reviewed	Testis-expressed protein 13A	TEX13A	Homo sapiens (Human)	409
Q15031	SYLM_HUMAN	reviewed	Probable leucine--tRNA ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	LARS2 KIAA0028	Homo sapiens (Human)	903
Q6PKC3	TXD11_HUMAN	reviewed	Thioredoxin domain-containing protein 11 (EF-hand-binding protein 1)	TXNDC11 EFP1	Homo sapiens (Human)	985
P42681	TXK_HUMAN	reviewed	Tyrosine-protein kinase TXK (EC 2.7.10.2) (Protein-tyrosine kinase 4) (Resting lymphocyte kinase)	TXK PTK4 RLK	Homo sapiens (Human)	527
P40222	TXLNA_HUMAN	reviewed	Alpha-taxilin	TXLNA TXLN	Homo sapiens (Human)	546
Q8N3L3	TXLNB_HUMAN	reviewed	Beta-taxilin (Muscle-derived protein 77) (hMDP77)	TXLNB C6orf198 MDP77	Homo sapiens (Human)	684
Q86VQ3	TXND2_HUMAN	reviewed	Thioredoxin domain-containing protein 2 (Spermatid-specific thioredoxin-1) (Sptrx-1)	TXNDC2 SPTRX SPTRX1	Homo sapiens (Human)	553
Q8NBS9	TXND5_HUMAN	reviewed	Thioredoxin domain-containing protein 5 (Endoplasmic reticulum resident protein 46) (ER protein 46) (ERp46) (Thioredoxin-like protein p46)	TXNDC5 TLP46 UNQ364/PRO700	Homo sapiens (Human)	432
O14530	TXND9_HUMAN	reviewed	Thioredoxin domain-containing protein 9 (ATP-binding protein associated with cell differentiation) (Protein 1-4)	TXNDC9 APACD	Homo sapiens (Human)	226
Q9BZA5	TXNG2_HUMAN	reviewed	Putative gamma-taxilin 2 (Gamma-taxilin 2 pseudogene) (Taxilin gamma pseudogene, Y-linked)	TXLNGY CYorf15A CYorf15B TXLNG2P	Homo sapiens (Human)	131
O43396	TXNL1_HUMAN	reviewed	Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein)	TXNL1 TRP32 TXL TXNL	Homo sapiens (Human)	289
Q16563	SYPL1_HUMAN	reviewed	Synaptophysin-like protein 1 (Pantophysin)	SYPL1 SYPL	Homo sapiens (Human)	259
P04818	TYSY_HUMAN	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	TYMS TS OK/SW-cl.29	Homo sapiens (Human)	313
Q9NV66	TYW1_HUMAN	reviewed	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 1) (tRNA wybutosine-synthesizing protein 1 homolog) (tRNA-yW-synthesizing protein)	TYW1 RSAFD1	Homo sapiens (Human)	732
P47897	SYQ_HUMAN	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	QARS	Homo sapiens (Human)	775
Q13432	U119A_HUMAN	reviewed	Protein unc-119 homolog A (Retinal protein 4) (hRG4)	UNC119 RG4	Homo sapiens (Human)	240
Q6QN14	U17L6_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 6 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 6) (Ubiquitin thioesterase 17-like protein 6) (Ubiquitin-specific-processing protease 17-like protein 6)	USP17L6P USP17C USP17D USP17N	Homo sapiens (Human)	398
C9JLJ4	U17LD_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 13 (EC 3.4.19.12)	USP17L13	Homo sapiens (Human)	530
D6RBQ6	U17LH_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 17 (EC 3.4.19.12)	USP17L17	Homo sapiens (Human)	530
D6R9N7	U17LI_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 18 (EC 3.4.19.12)	USP17L18	Homo sapiens (Human)	530
