ensembl,gene_name,mouse_uniprot,mouse_ensembl,name
ENSG00000280584,OBP2B,,,Q9NPH6
ENSG00000171102,OBP2B,Q62472,ENSMUSG00000026919,Q9NPH6
ENSG00000171102,OBP2B,Q8K1H9,ENSMUSG00000062061,Q9NPH6
ENSG00000171102,OBP2B,,ENSMUSG00000079539,Q9NPH6
ENSG00000281917,SLC16A1,,,P53985
ENSG00000155380,SLC16A1,P53986,ENSMUSG00000032902,P53985
ENSG00000281244,ADAMTS13,,,Q76LX8
ENSG00000160323,ADAMTS13,Q769J6,ENSMUSG00000014852,Q76LX8
ENSG00000281165,SLC2A6,,,Q9UGQ3
ENSG00000160326,SLC2A6,,ENSMUSG00000036067,Q9UGQ3
ENSG00000281324,LRP6,,,O75581
ENSG00000070018,LRP6,,ENSMUSG00000030201,O75581
ENSG00000281123,FCGBP,,,Q9Y6R7
ENSG00000283024,ATAD1,,,Q8NBU5
ENSG00000138138,ATAD1,Q9D5T0,ENSMUSG00000013662,Q8NBU5
ENSG00000282908,FAT3,,,Q8TDW7
ENSG00000165323,FAT3,,ENSMUSG00000074505,Q8TDW7
ENSG00000282974,DPP6,,,P42658
ENSG00000130226,DPP6,Q9Z218,ENSMUSG00000061576,P42658
ENSG00000283085,TPBG,,,Q13641
ENSG00000146242,TPBG,Q9Z0L0,ENSMUSG00000035274,Q13641
ENSG00000282902,LGALS7B,,,P47929
ENSG00000283082,LGALS7,,,P47929
ENSG00000205076,LGALS7,,,P47929
ENSG00000178934,LGALS7B,,ENSMUSG00000053522,P47929
ENSG00000282243,LRIG1,,,Q96JA1
ENSG00000144749,LRIG1,P70193,ENSMUSG00000030029,Q96JA1
ENSG00000283100,SIRT2,,,Q8IXJ6
ENSG00000068903,SIRT2,Q8VDQ8,ENSMUSG00000015149,Q8IXJ6
ENSG00000283099,CCER2,,,I3L3R5
ENSG00000262484,CCER2,,ENSMUSG00000096257,I3L3R5
ENSG00000283350,MUC6,,,Q6W4X9
ENSG00000184956,MUC6,,ENSMUSG00000048191,Q6W4X9
ENSG00000281166,NLRP10,,,Q86W26
ENSG00000276780,NLRP10,,,Q86W26
ENSG00000182261,NLRP10,Q8CCN1,ENSMUSG00000049709,Q86W26
ENSG00000283158,MUC5AC,,,P98088
ENSG00000215182,MUC5AC,,ENSMUSG00000037974,P98088
ENSG00000281931,SCG5,,,P05408
ENSG00000277614,SCG5,,,P05408
ENSG00000166922,SCG5,P12961,ENSMUSG00000023236,P05408
ENSG00000282046,GREM1,,,O60565
ENSG00000276886,GREM1,,,O60565
ENSG00000166923,GREM1,O70326,ENSMUSG00000074934,O60565
ENSG00000283030,CSN2,,,P05814
ENSG00000135222,CSN2,P10598,ENSMUSG00000063157,P05814
ENSG00000282838,PRSS21,,,Q9Y6M0
