protein_uniprot,ensembl,gene_name
Q92835,ENSG00000281614,INPP5D
Q9NPH6,ENSG00000280584,OBP2B
Q9NUC0,ENSG00000281230,SERTAD4
P53985,ENSG00000281917,SLC16A1
Q8WYB5,ENSG00000281813,KAT6B
Q5VTY9,ENSG00000280680,HHAT
O75683,ENSG00000281309,SURF6
Q15418,ENSG00000281877,RPS6KA1
O95299,ENSG00000281434,NDUFA10
P59923,ENSG00000283034,ZNF445
Q9ULC6,ENSG00000281459,PADI1
Q15528,ENSG00000281022,MED22
Q6ZMS4,ENSG00000281626,ZNF852
Q9ULW8,ENSG00000280549,PADI3
Q9UM07,ENSG00000280908,PADI4
Q9P0L1,ENSG00000281894,ZKSCAN7
P62424,ENSG00000280858,RPL7A
Q6TGC4,ENSG00000280949,PADI6
Q9P258,ENSG00000281540,RCC2
Q6AZW8,ENSG00000280661,ZNF660
Q15526,ENSG00000280627,SURF1
Q676U5,ENSG00000281089,ATG16L1
O14709,ENSG00000281709,ZNF197
P13682,ENSG00000281306,ZNF35
O15260,ENSG00000280951,SURF4
Q8TBZ5,ENSG00000281448,ZNF502
Q96CX3,ENSG00000281661,ZNF501
Q96AT1,ENSG00000281665,KIAA1143
Q9GZR2,ENSG00000280706,REXO4
Q9NS87,ENSG00000280610,KIF15
P10523,ENSG00000281857,SAG
Q69YG0,ENSG00000280516,TMEM42
P49221,ENSG00000281886,TGM4
Q16760,ENSG00000280873,DGKD
Q76LX8,ENSG00000281244,ADAMTS13
Q9NYG2,ENSG00000280674,ZDHHC3
Q9UGQ2,ENSG00000280479,CACFD1
Q9UGQ3,ENSG00000281165,SLC2A6
Q4VC05,ENSG00000282873,BCL7A
Q9HAP2,ENSG00000281178,MLXIP
O60812,ENSG00000282175,HNRNPCL1
Q9BZR8,ENSG00000281449,BCL2L14
Q14644,ENSG00000280477,RASA3
O60811,ENSG00000282817,PRAMEF2
O60810,ENSG00000282584,PRAMEF4
O60809,ENSG00000282663,PRAMEF10
Q5VXH5,ENSG00000279195,PRAMEF7
P06315,ENSG00000282172,IGKV5-2
Q5VXH4,ENSG00000282119,PRAMEF6
Q6PIV2,ENSG00000281277,FOXR1
A3QJZ7,ENSG00000282437,PRAMEF27
A6NGN4,ENSG00000282566,PRAMEF25
O75581,ENSG00000281324,LRP6
B7ZW38,ENSG00000282559,HNRNPCL3
Q86UT8,ENSG00000280975,CCDC84
B2RXH8,ENSG00000282530,HNRNPCL2
P0DMR1,ENSG00000282095,HNRNPCL4
Q5TYX0,ENSG00000282424,PRAMEF5
P62851,ENSG00000280831,RPS25
Q5VWM4,ENSG00000282583,PRAMEF8
Q68J44,ENSG00000281660,DUPD1
Q9H8J5,ENSG00000281818,MANSC1
Q5VWM5,ENSG00000282688,PRAMEF15
Q969J3,ENSG00000280689,BORCS5
Q9BY84,ENSG00000280962,DUSP16
Q9Y296,ENSG00000280495,TRAPPC4
A8MZ59,ENSG00000280774,LEUTX
Q9Y463,ENSG00000281320,DYRK1B
Q9Y4L1,ENSG00000280682,HYOU1
P22087,ENSG00000280548,FBL
P43686,ENSG00000281221,PSMC4
Q86UE3,ENSG00000281526,ZNF546
Q9Y6R6,ENSG00000281601,ZNF780B
O75290,ENSG00000280568,ZNF780A
Q9Y6R7,ENSG00000281123,FCGBP
P08397,ENSG00000281702,HMBS
O43826,ENSG00000281500,SLC37A4
Q8NBU5,ENSG00000283024,ATAD1
O43310,ENSG00000282825,CTIF
B2CW77,ENSG00000283059,KLLN
Q14331,ENSG00000283153,FRG1
Q8TDW7,ENSG00000282908,FAT3
Q92918,ENSG00000282928,MAP4K1
P42658,ENSG00000282974,DPP6
P01602,ENSG00000282801,IGKV1-5
P04433,ENSG00000282823,IGKV3-11
Q9P2D0,ENSG00000283068,IBTK
Q96QZ7,ENSG00000282956,MAGI1
Q9UBQ5,ENSG00000282986,EIF3K
Q13641,ENSG00000283085,TPBG
O43707,ENSG00000282844,ACTN4
Q70HW3,ENSG00000282739,SLC25A26
P47929,ENSG00000282902,LGALS7B
P47929,ENSG00000283082,LGALS7
P56470,ENSG00000282992,LGALS4
Q96JA1,ENSG00000282243,LRIG1
Q13011,ENSG00000282853,ECH1
P14866,ENSG00000282947,HNRNPL
Q6ZS11,ENSG00000282895,RINL
Q8IXJ6,ENSG00000283100,SIRT2
Q15653,ENSG00000282905,NFKBIB
I3L3R5,ENSG00000283099,CCER2
Q9NP81,ENSG00000283104,SARS2
O15235,ENSG00000283018,MRPS12
Q96EF6,ENSG00000282954,FBXO17
Q8NI29,ENSG00000283021,FBXO27
Q6ZSI9,ENSG00000282901,CAPN12
Q9UBM8,ENSG00000283530,MGAT4C
P10323,ENSG00000283539,ACR
Q6W4X9,ENSG00000283350,MUC6
Q8WZ92,ENSG00000280931,OR5P2
Q8WZ94,ENSG00000280808,OR5P3
Q8NH74,ENSG00000280899,OR10A6
P58181,ENSG00000281680,OR10A3
Q86W26,ENSG00000281166,NLRP10
P98088,ENSG00000283158,MUC5AC
Q9BYB0,ENSG00000283243,SHANK3
O00303,ENSG00000280606,EIF3F
P56556,ENSG00000281013,NDUFA6
P05408,ENSG00000281931,SCG5
Q9UGU0,ENSG00000280467,TCF20
O60565,ENSG00000282046,GREM1
Q6P4F7,ENSG00000282168,ARHGAP11A
Q9UGU0,ENSG00000281897,TCF20
P05814,ENSG00000283030,CSN2
A3QJZ7,ENSG00000283425,PRAMEF27
Q9Y6M0,ENSG00000282838,PRSS21
Q9C0D0,ENSG00000282833,PHACTR1
A6NGN4,ENSG00000283348,PRAMEF25
Q9UGU0,ENSG00000283026,TCF20
P02808,ENSG00000282891,STATH
Q15813,ENSG00000282984,TBCE
B7ZW38,ENSG00000283292,HNRNPCL3
O43390,ENSG00000282958,HNRNPR
B2RXH8,ENSG00000283370,HNRNPCL2
P15516,ENSG00000282967,HTN3
Q4G0P3,ENSG00000283022,HYDIN
Q7Z5Q1,ENSG00000283087,CPEB2
P0DMR1,ENSG00000283231,HNRNPCL4
Q96DA0,ENSG00000283056,ZG16B
Q5TYX0,ENSG00000283150,PRAMEF5
P15515,ENSG00000283046,HTN1
Q5VWM4,ENSG00000283387,PRAMEF8
Q9Y6X6,ENSG00000282848,MYO16
Q9GZN4,ENSG00000282937,PRSS22
Q5VWM5,ENSG00000283478,PRAMEF15
Q9C0F3,ENSG00000283009,ZNF436
Q6MZM9,ENSG00000282868,PRR27
A3QJZ6,ENSG00000283488,PRAMEF18
Q8NCR0,ENSG00000282880,B3GALNT2
O75764,ENSG00000282941,TCEA3
Q68DA7,ENSG00000282513,FMN1
P50150,ENSG00000282972,GNG4
Q9UGU0,ENSG00000282892,TCF20
Q8IUD2,ENSG00000283017,ERC1
Q8TDY4,ENSG00000282854,ASAP3
P23468,ENSG00000282932,PTPRD
P22676,ENSG00000282830,CALB2
Q9HC47,ENSG00000282841,CTAGE1
Q96RT6,ENSG00000282841,CTAGE1
Q14209,ENSG00000282899,E2F2
Q02535,ENSG00000283060,ID3
Q53TQ3,ENSG00000283510,INO80D
Q14331,ENSG00000283630,FRG1
Q9UGU0,ENSG00000283681,TCF20
P28331,ENSG00000283447,NDUFS1
P24534,ENSG00000283391,EEF1B2
P46091,ENSG00000283448,GPR1
Q9HCK1,ENSG00000283649,ZDBF2
P03886,ENSG00000198888,MT-ND1
P03891,ENSG00000198763,MT-ND2
P00395,ENSG00000198804,MT-CO1
P00403,ENSG00000198712,MT-CO2
P03928,ENSG00000228253,MT-ATP8
P00846,ENSG00000198899,MT-ATP6
P00414,ENSG00000198938,MT-CO3
O60565,ENSG00000276886,GREM1
P03897,ENSG00000198840,MT-ND3
P03901,ENSG00000212907,MT-ND4L
Q5H9T9,ENSG00000189139,FSCB
Q5VZR2,ENSG00000188152,NUTM2G
P03905,ENSG00000198886,MT-ND4
P03915,ENSG00000198786,MT-ND5
P03923,ENSG00000198695,MT-ND6
Q5VYM1,ENSG00000174038,C9orf131
P00156,ENSG00000198727,MT-CYB
P41236,ENSG00000184203,PPP1R2
O95551,ENSG00000111802,TDP2
P51955,ENSG00000117650,NEK2
Q9NQZ5,ENSG00000084090,STARD7
Q6TCH7,ENSG00000163291,PAQR3
Q8WWY3,ENSG00000275117,PRPF31
P28067,ENSG00000243215,HLA-DMA
P0C1Z6,ENSG00000276296,TFPT
Q6PG37,ENSG00000197863,ZNF790
Q8NGK6,ENSG00000232268,OR52I1
Q8NG99,ENSG00000170923,OR7G2
Q9BY49,ENSG00000115425,PECR
Q8TAW3,ENSG00000083814,ZNF671
Q9NV64,ENSG00000176142,TMEM39A
Q7Z404,ENSG00000277667,TMC4
