Entry;Entry name;Status;Protein names;Gene names;Organism
P01375;TNFA_HUMAN;reviewed;"Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]";TNF TNFA TNFSF2;Homo sapiens (Human)
P17861;XBP1_HUMAN;reviewed;"X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]";XBP1 TREB5 XBP2;Homo sapiens (Human)
O43889;CREB3_HUMAN;reviewed;Cyclic AMP-responsive element-binding protein 3 (CREB-3) (cAMP-responsive element-binding protein 3) (Leucine zipper protein) (Luman) (Transcription factor LZIP-alpha) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3 (N-terminal Luman) (Transcriptionally active form)];CREB3 LZIP;Homo sapiens (Human)
O75923;DYSF_HUMAN;reviewed;Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1);DYSF FER1L1;Homo sapiens (Human)
P22413;ENPP1_HUMAN;reviewed;"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Membrane component chromosome 6 surface marker 1) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]";ENPP1 M6S1 NPPS PC1 PDNP1;Homo sapiens (Human)
Q92838;EDA_HUMAN;reviewed;"Ectodysplasin-A (Ectodermal dysplasia protein) (EDA protein) [Cleaved into: Ectodysplasin-A, membrane form; Ectodysplasin-A, secreted form]";EDA ED1 EDA2;Homo sapiens (Human)
P02786;TFR1_HUMAN;reviewed;Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)];TFRC;Homo sapiens (Human)
P04233;HG2A_HUMAN;reviewed;HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (p33) (CD antigen CD74);CD74 DHLAG;Homo sapiens (Human)
O15162;PLS1_HUMAN;reviewed;Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (MmTRA1b);PLSCR1;Homo sapiens (Human)
Q12884;SEPR_HUMAN;reviewed;Prolyl endopeptidase FAP (EC 3.4.21.26) (170 kDa melanoma membrane-bound gelatinase) (Dipeptidyl peptidase FAP) (EC 3.4.14.5) (Fibroblast activation protein alpha) (FAPalpha) (Gelatine degradation protease FAP) (EC 3.4.21.-) (Integral membrane serine protease) (Post-proline cleaving enzyme) (Serine integral membrane protease) (SIMP) (Surface-expressed protease) (Seprase) [Cleaved into: Antiplasmin-cleaving enzyme FAP, soluble form (APCE) (EC 3.4.14.5) (EC 3.4.21.-) (EC 3.4.21.26)];FAP;Homo sapiens (Human)
