id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
CPI-CC0041E1D30,IL12,IL12 receptor,,,curated,uniprot
CPI-CC0104F2A96,ACVR_1B2A receptor,Activin ligand ab,,,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CC045C36F28,ACVR_1A2A receptor,Activin ligand ab,,,curated,less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage
CPI-CC051643E98,IL23,IL23 receptor,,,curated,uniprot
CPI-CC072007F09,ACVR_1B2B receptor,Activin ligand ab,,,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CC08A4A83F1,aMb2 complex,fibrinogen,,,curated,uniprot
CPI-CC0947744F4,ACVR_1C2A receptor,Activin ligand ab,,,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CC09863F59B,ACVR_1A2B receptor,Activin ligand ab,,,curated,less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage
CPI-CC09BCDA08E,IL27,IL27 receptor,,,curated,uniprot
CPI-CC0B39F327D,IL17 AF,IL17 receptor AC,,,curated,uniprot
CPI-CC0B6E6E341,ACVR_1C2B receptor,Activin ligand ab,,,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CC0C3ECBD1F,IL35,IL35 receptor,,,curated,uniprot
CPI-CC0D5F9D20F,a2Bb3 complex,fibrinogen,,,curated,uniprot
CPI-CC0F3691D07,aXb2 complex,fibrinogen,,,curated,uniprot
CPI-CS0007697A7,NKG2D II receptor,Q9BZM6,,N2DL1_HUMAN,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577
CPI-CS0023FA839,CD94:NKG2E,P13747,,HLAE_HUMAN,curated,PMID: 28484462
CPI-CS007ADC2D1,ACVR_1C2A receptor,P09529,,INHBB_HUMAN,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CS008C9D6E5,IL1 receptor inhibitor,P01584,,IL1B_HUMAN,curated,"3o4o, PDB"
CPI-CS00BF6CD40,IL13 receptor,P05112,,IL4_HUMAN,curated,"3bpn, PDB"
CPI-CS0107C51C6,BMPR1B_BMPR2,P12644,,BMP4_HUMAN,curated,PMID: 22710174
CPI-CS0123BC66C,PlexinA1_complex2,Q8NFY4,,SEM6D_HUMAN,curated,PMID: 22325954
CPI-CS012D15A88,BMR1A_ACR2A,P12644,,BMP4_HUMAN,curated,PMID: 22710174
CPI-CS01319F57A,BMR1B_AVR2A,Q7Z5Y6,,BMP8A_HUMAN,curated,PMID: 22710174
CPI-CS0152E177A,Glycoprotein Ib  complex,P04275,,VWF_HUMAN,curated,"1m10, PDB partially . Platets needed for its activation."
CPI-CS0157F2E34,ACVL1_BMPR2,Q9UK05,,GDF2_HUMAN,curated,PMID: 22710174
CPI-CS017A50010,BMR1A_AVR2B,Q7Z5Y6,,BMP8A_HUMAN,curated,PMID: 22710174
CPI-CS01A4D7E2F,BMR1B_AVR2A,P22003,,BMP5_HUMAN,curated,PMID: 22710174
CPI-CS0210859AB,GMCSFR,P04141,,CSF2_HUMAN,curated,"4nkq, PDB"
CPI-CS0247DA882,BMR1A_ACR2A,P22004,,BMP6_HUMAN,curated,PMID: 22710174
CPI-CS027D7A724,BMPR1B_BMPR2,Q7Z4P5,,GDF7_HUMAN,curated,PMID: 22710174
CPI-CS027F8BD7E,BMR1B_AVR2B,Q6KF10,,GDF6_HUMAN,curated,PMID: 22710174
CPI-CS0288D901D,ACVR_1A2B receptor,P18075,,BMP7_HUMAN,curated,PMID: 22710174
CPI-CS02899BF8B,ACVR_1B2A receptor,P09529,,INHBB_HUMAN,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CS028ACED72,BMPR1B_BMPR2,P12643,,BMP2_HUMAN,curated,PMID: 22710174
CPI-CS02957B1BF,BMR1B_AVR2A,P12644,,BMP4_HUMAN,curated,PMID: 22710174
CPI-CS02AEFFE28,ACVR_1A2B receptor,P22004,,BMP6_HUMAN,curated,PMID: 22710174
CPI-CS02C93975C,BMPR1B_BMPR2,P22003,,BMP5_HUMAN,curated,PMID: 22710174
CPI-CS02E5ABC5D,Glycoprotein Ib  complex,P00734,,THRB_HUMAN,curated,"1hyr, PDB partially"
CPI-CS03037FE90,IL3 receptor,P08700,,IL3_HUMAN,curated,uniprot
CPI-CS0317FAF76,IL26 receptor,Q9NPH9,,IL26_HUMAN,curated,"Rutz et al., Nat Rev. 2014"
CPI-CS036BF2AC7,BMR1A_AVR2B,P43026,,GDF5_HUMAN,curated,PMID: 22710174
CPI-CS038376BA2,NKG2D II receptor,Q9BZM4,,N2DL3_HUMAN,curated,"Induces NK Cell Activation. Reviewed in PMID: 24223577. 1kcg, PDB partially"
CPI-CS0384572FE,ACVR_1B2B receptor,O95390,,GDF11_HUMAN,curated,PMID: 22710174
CPI-CS03DF8BD36,BMR1B_AVR2B,Q7Z5Y6,,BMP8A_HUMAN,curated,PMID: 22710174
CPI-CS040AEB4A0,NODAL receptor,Q96S42,,NODAL_HUMAN,curated,PMID: 22710174
CPI-CS040DDEBFB,IL37 receptor,Q9NZH6,,IL37_HUMAN,curated,"See paper Nold-Petry et al., 2015"
CPI-CS045D41398,IL17 receptor AB,Q9H293,,IL25_HUMAN,curated,NA IL17E called IL25
CPI-CS046B3C139,ACVR_1A2A receptor,P18075,,BMP7_HUMAN,curated,PMID: 22710174
CPI-CS046BCFC6F,BMPR1A_BMPR2,P22003,,BMP5_HUMAN,curated,PMID: 22710174
CPI-CS047EE9E03,BMR1A_ACR2A,P22003,,BMP5_HUMAN,curated,PMID: 22710174
CPI-CS0484364A2,BMPR1B_BMPR2,Q7Z5Y6,,BMP8A_HUMAN,curated,PMID: 22710174
CPI-CS048465560,ACVR_1A2B receptor,P09529,,INHBB_HUMAN,curated,less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage
CPI-CS04BB8F1EC,IL36 receptor,Q9UBH0,,I36RA_HUMAN,curated,uniprot
CPI-CS04C402DFB,BMR1A_ACR2A,Q6KF10,,GDF6_HUMAN,curated,PMID: 22710174
CPI-CS04C628758,IL36 receptor,Q8WWZ1,,IL1FA_HUMAN,curated,to check
CPI-CS04CBDE052,IL10 receptor,P22301,,IL10_HUMAN,curated,"1j7v, PDB partially"
CPI-CS04DD927C9,ACVR_1A2B receptor,P08476,,INHBA_HUMAN,curated,less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage
CPI-CS04F158618,IL17 receptor AC,Q16552,,IL17_HUMAN,curated,uniprot
CPI-CS04F78ACD6,ACVR_1B2A receptor,O95390,,GDF11_HUMAN,curated,PMID: 22710174
CPI-CS0533A30DC,ACVR_1B2A receptor,P08476,,INHBA_HUMAN,curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
CPI-CS05426BFFA,IL1 receptor,P01584,,IL1B_HUMAN,curated,"4dep, PDB"
CPI-CS0546460D1,BMR1A_AVR2B,Q6KF10,,GDF6_HUMAN,curated,PMID: 22710174
CPI-CS0553FFC41,IL20 receptor Type I,Q13007,,IL24_HUMAN,curated,uniprot
CPI-CS0558AB6A5,IL17 receptor AC,Q96PD4,,IL17F_HUMAN,curated,uniprot
CPI-CS055E15573,BMR1B_AVR2B,Q7Z4P5,,GDF7_HUMAN,curated,PMID: 22710174
CPI-CS0569B9B91,BMPR1B_BMPR2,P36894,,BMR1A_HUMAN,curated,"3evs,  PDB complex higher affinity"
CPI-CS05789C9A0,BMR1A_ACR2A,Q7Z4P5,,GDF7_HUMAN,curated,PMID: 22710174
CPI-CS058910188,BMR1B_AVR2B,P12643,,BMP2_HUMAN,curated,PMID: 22710174
CPI-CS05AB368CE,CD94:NKG2C,P13747,,HLAE_HUMAN,curated,PMID: 28484462
CPI-CS05EAF93CC,BMPR1A_BMPR2,P18075,,BMP7_HUMAN,curated,PMID: 22710174
CPI-CS06072FF4E,IL1 receptor,P01583,,IL1A_HUMAN,curated,uniprot
CPI-CS063AE1C91,IL6 receptor,P05231,,IL6_HUMAN,curated,"1p9m, PDB"
CPI-CS0645666B0,IL20 receptor Type I,Q9UHD0,,IL19_HUMAN,curated,uniprot
CPI-CS067298D94,FLT1 complex,P15692,,VEGFA_HUMAN,curated,uniprot
CPI-CS069E2161D,BMR1B_AVR2A,P43026,,GDF5_HUMAN,curated,PMID: 22710174
CPI-CS06B657CAB,IL9 receptor,P15248,,IL9_HUMAN,curated,uniprot
CPI-CS06C0EEFCB,ACVR_1B2B receptor,P55107,,GDF10_HUMAN,curated,PMID: 22710174
CPI-CS06C6E2321,NKG2D II receptor,Q29983,,MICA_HUMAN,curated,"1hyr, PDB partially, Induces NK Cell Activation. Reviewed in PMID: 24223577"
CPI-CS06D50EBF8,OSMR,P13725,,ONCM_HUMAN,curated,uniprot
CPI-CS06E556972,IL15 receptor,P40933,,IL15_HUMAN,curated,"Need expression of IL15RA (Q13261) in other cells. 2z3q, PDB partially"
CPI-CS0700FDD27,BMPR1B_BMPR2,P43026,,GDF5_HUMAN,curated,PMID: 22710174
CPI-CS0715DE78D,CD94:NKG2A,P13747,,HLAE_HUMAN,curated,PMID: 28484462
CPI-CS073233FCC,ACVR_1A2A receptor,P09529,,INHBB_HUMAN,curated,less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage
CPI-CS073D36B1D,FLT1 complex,P49763,,PLGF_HUMAN,curated,uniprot
CPI-CS075442484,BMR1A_ACR2A,P12643,,BMP2_HUMAN,curated,PMID: 22710174
CPI-CS07557A266,MIS receptor 1,P03971,,MIS_HUMAN,curated,PMID: 22710174
CPI-CS076E1A639,BMR1A_AVR2B,P22004,,BMP6_HUMAN,curated,PMID: 22710174
CPI-CS077F1340A,FLT1 complex,P49765,,VEGFB_HUMAN,curated,uniprot
CPI-CS07B61574B,LIFR,P15018,,LIF_HUMAN,curated,"1pvh, PDB partially"
CPI-CS08109C435,BMPR1B_BMPR2,P18075,,BMP7_HUMAN,curated,PMID: 22710174
