Entry;Entry name;Status;Protein names;Gene names;Organism
Q14524;SCN5A_HUMAN;reviewed;Sodium channel protein type 5 subunit alpha (HH1) (Sodium channel protein cardiac muscle subunit alpha) (Sodium channel protein type V subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.5);SCN5A;Homo sapiens (Human)
P35498;SCN1A_HUMAN;reviewed;Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1);SCN1A NAC1 SCN1;Homo sapiens (Human)
P51787;KCNQ1_HUMAN;reviewed;Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1);KCNQ1 KCNA8 KCNA9 KVLQT1;Homo sapiens (Human)
Q12809;KCNH2_HUMAN;reviewed;Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1);KCNH2 ERG ERG1 HERG;Homo sapiens (Human)
P49768;PSN1_HUMAN;reviewed;"Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]";PSEN1 AD3 PS1 PSNL1;Homo sapiens (Human)
P13569;CFTR_HUMAN;reviewed;Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 3.6.3.49) (cAMP-dependent chloride channel);CFTR ABCC7;Homo sapiens (Human)
P35670;ATP7B_HUMAN;reviewed;Copper-transporting ATPase 2 (EC 3.6.3.54) (Copper pump 2) (Wilson disease-associated protein) [Cleaved into: WND/140 kDa];ATP7B PWD WC1 WND;Homo sapiens (Human)
Q13563;PKD2_HUMAN;reviewed;Polycystin-2 (PC2) (Autosomal dominant polycystic kidney disease type II protein) (Polycystic kidney disease 2 protein) (Polycystwin) (R48321) (Transient receptor potential cation channel subfamily P member 2);PKD2 TRPP2;Homo sapiens (Human)
P21817;RYR1_HUMAN;reviewed;Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor);RYR1 RYDR;Homo sapiens (Human)
P98161;PKD1_HUMAN;reviewed;Polycystin-1 (PC1) (Autosomal dominant polycystic kidney disease 1 protein);PKD1;Homo sapiens (Human)
