ensembl,gene_name,uniprot
ENSG00000127837,AAMP,Q13685
ENSG00000125166,GOT2,P00505
ENSG00000138075,ABCG5,Q9H222
ENSG00000087085,ACHE,P22303
ENSG00000120903,CHRNA2,Q15822
ENSG00000080644,CHRNA3,P32297
ENSG00000147434,CHRNA6,Q15825
ENSG00000160716,CHRNB2,P17787
ENSG00000063761,ADCK1,Q86TW2
ENSG00000184163,C1QTNF12,Q5T7M4
ENSG00000181092,ADIPOQ,Q15848
ENSG00000128165,ADM2,Q7Z4H4
ENSG00000148926,ADM,P35318
ENSG00000079557,AFM,P43652
ENSG00000180264,ADGRD2,Q7Z7M1
ENSG00000206503,HLA-A,P16188
ENSG00000206505,HLA-A,P30453
ENSG00000229215,HLA-A,P30455
ENSG00000224320,HLA-A,P30455
ENSG00000223980,HLA-A,P30459
ENSG00000206450,HLA-B,Q04826
ENSG00000232126,HLA-B,P30484
ENSG00000234745,HLA-B,P30486
ENSG00000206450,HLA-B,P18464
ENSG00000206450,HLA-B,P30491
ENSG00000224608,HLA-B,P18465
ENSG00000234745,HLA-B,Q29836
ENSG00000206450,HLA-B,Q29718
ENSG00000228299,HLA-C,P30501
ENSG00000225691,HLA-C,P04222
ENSG00000206435,HLA-C,P30504
ENSG00000206452,HLA-C,P30504
ENSG00000206435,HLA-C,P30505
ENSG00000206452,HLA-C,P30505
ENSG00000206435,HLA-C,Q07000
ENSG00000206452,HLA-C,Q07000
ENSG00000237022,HLA-C,Q29960
ENSG00000206306,HLA-DRB1,P20039
ENSG00000206240,HLA-DRB1,P20039
ENSG00000196126,HLA-DRB1,P01911
ENSG00000178084,HTR3C,Q8WXA8
ENSG00000157219,HTR5A,P47898
ENSG00000158748,HTR6,P50406
ENSG00000135318,NT5E,P21589
ENSG00000228278,ORM2,P19652
ENSG00000121410,A1BG,P04217
ENSG00000152990,ADGRA3,Q8IWK6
ENSG00000121753,ADGRB2,O60241
ENSG00000111452,ADGRD1,Q6QNK2
ENSG00000153292,ADGRF1,Q5T601
ENSG00000144820,ADGRG7,Q96K78
ENSG00000180772,AGTR2,P50052
ENSG00000126878,AIF1L,Q9BQI0
ENSG00000204472,AIF1,P55008
ENSG00000206428,AIF1,P55008
ENSG00000235985,AIF1,P55008
ENSG00000237727,AIF1,P55008
ENSG00000234836,AIF1,P55008
ENSG00000235588,AIF1,P55008
ENSG00000282608,ADORA3,P0DMS8
ENSG00000004846,ABCB5,Q2M3G0
ENSG00000168792,ABHD15,Q6UXT9
ENSG00000136754,ABI1,Q8IZP0
ENSG00000042980,ADAM28,Q9UKQ2
ENSG00000196839,ADA,P00813
ENSG00000175793,SFN,P31947
ENSG00000229215,HLA-A,P05534
ENSG00000224320,HLA-A,P05534
ENSG00000223532,HLA-B,P30460
ENSG00000223532,HLA-B,P30462
ENSG00000232126,HLA-B,P30464
ENSG00000224608,HLA-B,P03989
ENSG00000206450,HLA-B,P18463
ENSG00000223532,HLA-B,Q95365
ENSG00000234745,HLA-B,P30480
ENSG00000228964,HLA-B,P30481
ENSG00000224608,HLA-B,P30485
ENSG00000224608,HLA-B,P30487
ENSG00000232126,HLA-B,P30490
ENSG00000206450,HLA-B,P30492
ENSG00000206450,HLA-B,P30493
ENSG00000237022,HLA-C,P30499
ENSG00000206435,HLA-C,Q9TNN7
ENSG00000206452,HLA-C,Q9TNN7
ENSG00000204525,HLA-C,P10321
ENSG00000237022,HLA-C,P30510
ENSG00000206435,HLA-C,Q95604
ENSG00000206452,HLA-C,Q95604
ENSG00000206306,HLA-DRB1,P01912
ENSG00000206240,HLA-DRB1,P01912
ENSG00000229074,HLA-DRB1,Q9TQE0
ENSG00000236884,HLA-DRB1,Q9TQE0
ENSG00000206306,HLA-DRB1,Q9GIY3
ENSG00000196126,HLA-DRB1,Q9GIY3
ENSG00000206240,HLA-DRB1,Q9GIY3
ENSG00000228080,HLA-DRB1,Q9GIY3
ENSG00000166922,SCG5,P05408
ENSG00000277614,SCG5,P05408
ENSG00000281931,SCG5,P05408
ENSG00000213088,ACKR1,Q16570
ENSG00000129048,ACKR4,Q9NPB9
ENSG00000123612,ACVR1C,Q8NER5
ENSG00000137845,ADAM10,O14672
ENSG00000120907,ADRA1A,P35348
ENSG00000008277,ADAM22,Q9P0K1
ENSG00000150594,ADRA2A,P08913
ENSG00000274286,ADRA2B,P18089
ENSG00000184160,ADRA2C,P18825
ENSG00000104755,ADAM2,Q99965
ENSG00000276286,ADAM2,Q99965
ENSG00000168615,ADAM9,Q13443
ENSG00000164742,ADCY1,Q08828
ENSG00000173175,ADCY5,O95622
ENSG00000229215,HLA-A,P30443
ENSG00000224320,HLA-A,P30443
ENSG00000235657,HLA-A,P01892
ENSG00000206306,HLA-DRB1,Q95IE3
ENSG00000206240,HLA-DRB1,Q95IE3
ENSG00000228080,HLA-DRB1,Q95IE3
ENSG00000206306,HLA-DRB1,Q5Y7A7
ENSG00000206240,HLA-DRB1,Q5Y7A7
ENSG00000149305,HTR3B,O95264
ENSG00000197249,SERPINA1,P01009
ENSG00000077420,APBB1IP,Q7Z5R6
ENSG00000141338,ABCA8,O94911
ENSG00000006071,ABCC8,Q09428
ENSG00000164074,ABHD18,Q0P651
ENSG00000129749,CHRNA10,Q9GZZ6
ENSG00000175344,CHRNA7,P36544
ENSG00000170175,CHRNB1,P11230
ENSG00000283946,CHRNB1,P11230
ENSG00000108556,CHRNE,Q04844
ENSG00000061938,TNK2,Q07912
ENSG00000180720,CHRM4,P08173
ENSG00000184984,CHRM5,P08912
ENSG00000206505,HLA-A,P30450
ENSG00000231834,HLA-A,P16189
ENSG00000231834,HLA-A,P16190
ENSG00000206505,HLA-A,P30457
ENSG00000235657,HLA-A,P01891
ENSG00000234745,HLA-B,P01889
ENSG00000224608,HLA-B,P30461
ENSG00000206450,HLA-B,P30466
ENSG00000206450,HLA-B,P30685
ENSG00000223532,HLA-B,P30475
ENSG00000223532,HLA-B,P30479
ENSG00000232126,HLA-B,P30483
ENSG00000232126,HLA-B,P30488
ENSG00000206450,HLA-B,P30495
ENSG00000224608,HLA-B,P10319
ENSG00000206450,HLA-B,Q29940
ENSG00000234745,HLA-B,Q31612
ENSG00000206450,HLA-B,P30498
ENSG00000234745,HLA-B,Q31610
ENSG00000178394,HTR1A,P08908
ENSG00000135914,HTR2B,P41595
ENSG00000186090,HTR3D,Q70Z44
ENSG00000175899,A2M,P01023
ENSG00000170425,ADORA2B,P29275
ENSG00000105281,SLC1A5,Q15758
ENSG00000179546,HTR1D,P28221
ENSG00000179097,HTR1F,P30939
ENSG00000102468,HTR2A,P28223
ENSG00000186038,HTR3E,A5X5Y0
ENSG00000171236,LRG1,P02750
ENSG00000163485,ADORA1,P30542
ENSG00000196136,SERPINA3,P01011
ENSG00000129968,ABHD17A,Q96GS6
ENSG00000107362,ABHD17B,Q5VST6
ENSG00000064687,ABCA7,Q8IZY2
ENSG00000101204,CHRNA4,P43681
ENSG00000169684,CHRNA5,P30532
ENSG00000138435,CHRNA1,P02708
ENSG00000147432,CHRNB3,Q05901
ENSG00000144476,ACKR3,P25106
ENSG00000206503,HLA-A,P04439
ENSG00000206503,HLA-A,P13746
ENSG00000228299,HLA-C,Q29865
ENSG00000206306,HLA-DRB1,Q30134
ENSG00000206240,HLA-DRB1,Q30134
ENSG00000168003,SLC3A2,P08195
ENSG00000135312,HTR1B,P28222
ENSG00000168830,HTR1E,P28566
ENSG00000166736,HTR3A,P46098
ENSG00000159640,ACE,P12821
ENSG00000135902,CHRND,Q07001
ENSG00000196811,CHRNG,P07510
ENSG00000144648,ACKR2,O00590
ENSG00000168539,CHRM1,P11229
ENSG00000181072,CHRM2,P08172
ENSG00000111644,ACRBP,Q8NEB7
ENSG00000139567,ACVRL1,P37023
ENSG00000115170,ACVR1,Q04771
ENSG00000147246,HTR2C,P28335
ENSG00000164270,HTR4,Q13639
ENSG00000148680,HTR7,P34969
ENSG00000166535,A2ML1,A8K2U0
ENSG00000128271,ADORA2A,P29274
ENSG00000130234,ACE2,Q9BYF1
ENSG00000174343,CHRNA9,Q9UGM1
ENSG00000117971,CHRNB4,P30926
ENSG00000223980,HLA-A,P30447
ENSG00000206505,HLA-A,P18462
ENSG00000231834,HLA-A,P30512
ENSG00000223980,HLA-A,P10314
ENSG00000206505,HLA-A,P30456
ENSG00000235657,HLA-A,P10316
ENSG00000229215,HLA-A,Q09160
ENSG00000224320,HLA-A,Q09160
ENSG00000228299,HLA-C,Q29963
ENSG00000228299,HLA-C,P30508
ENSG00000196126,HLA-DRB1,P04229
ENSG00000228080,HLA-DRB1,P13760
ENSG00000228080,HLA-DRB1,Q30167
ENSG00000229074,HLA-DRB1,P13761
ENSG00000236884,HLA-DRB1,P13761
ENSG00000196126,HLA-DRB1,Q29974
ENSG00000229314,ORM1,P02763
ENSG00000167711,SERPINF2,P08697
ENSG00000276838,SERPINF2,P08697
ENSG00000142192,APP,P05067
ENSG00000115977,AAK1,Q2M2I8
ENSG00000115657,ABCB6,Q9NP58
ENSG00000118777,ABCG2,Q9UNQ0
ENSG00000143921,ABCG8,Q9H221
ENSG00000140526,ABHD2,P08910
ENSG00000129474,AJUBA,Q96IF1
ENSG00000099721,AMELY,Q99218
ENSG00000176393,RNPEP,Q9H4A4
ENSG00000166825,ANPEP,P15144
ENSG00000163273,NPPC,P23582
ENSG00000116194,ANGPTL1,O95841
ENSG00000130173,ANGPTL8,Q6UXH0
ENSG00000135744,AGT,P01019
ENSG00000160746,ANO10,Q9NW15
ENSG00000131620,ANO1,Q5XXA6
ENSG00000171714,ANO5,Q75V66
ENSG00000185101,ANO9,A1A5B4
ENSG00000105186,ANKRD27,Q96NW4
ENSG00000196961,AP2A1,O95782
ENSG00000166313,APBB1,O00213
ENSG00000178878,APOLD1,Q96LR9
ENSG00000105290,APLP1,P51693
ENSG00000130208,APOC1,P02654
ENSG00000189058,APOD,P05090
ENSG00000130203,APOE,P02649
ENSG00000175336,APOF,Q13790
ENSG00000133019,CHRM3,P20309
ENSG00000185231,MC2R,Q01718
ENSG00000072110,ACTN1,P12814
ENSG00000171873,ADRA1D,P25100
ENSG00000114948,ADAM23,O75077
ENSG00000174233,ADCY6,O43306
ENSG00000134028,ADAMDEC1,O15204
ENSG00000224420,ADM5,C9JUS6
ENSG00000188778,ADRB3,P13945
ENSG00000197177,ADGRA1,Q86SQ6
ENSG00000020181,ADGRA2,Q96PE1
ENSG00000181790,ADGRB1,O14514
ENSG00000182885,ADGRG3,Q86Y34
ENSG00000156920,ADGRG4,Q8IZF6
ENSG00000072071,ADGRL1,O94910
ENSG00000117114,ADGRL2,O95490
ENSG00000162618,ADGRL4,Q9HBW9
ENSG00000006534,ALDH3B1,P43353
ENSG00000196581,AJAP1,Q9UKB5
ENSG00000118507,AKAP7,O43687
ENSG00000142208,AKT1,P31749
ENSG00000099769,IGFALS,P35858
ENSG00000125363,AMELX,Q99217
ENSG00000178171,AMER3,Q8N944
ENSG00000134343,ANO3,Q9BYT9
ENSG00000177119,ANO6,Q4KMQ2
ENSG00000169418,NPR1,P16066
ENSG00000169604,ANTXR1,Q9H6X2
ENSG00000136250,AOAH,P28039
ENSG00000002726,AOC1,P19801
ENSG00000131471,AOC3,Q16853
ENSG00000006125,AP2B1,P63010
ENSG00000042753,AP2S1,P53680
ENSG00000134817,APLNR,P35414
ENSG00000267467,APOC4,P55056
ENSG00000100342,APOL1,O14791
ENSG00000204444,APOM,O95445
ENSG00000206409,APOM,O95445
ENSG00000224290,APOM,O95445
ENSG00000226215,APOM,O95445
ENSG00000235754,APOM,O95445
ENSG00000227567,APOM,O95445
ENSG00000231974,APOM,O95445
ENSG00000129467,ADCY4,Q8NFM4
ENSG00000143199,ADCY10,Q96PN6
ENSG00000087274,ADD1,P35611
ENSG00000169252,ADRB2,P07550
ENSG00000189292,ALKAL2,Q6UX46
ENSG00000136859,ANGPTL2,Q9UKU9
ENSG00000187151,ANGPTL5,Q86XS5
ENSG00000135046,ANXA1,P04083
ENSG00000134982,APC,P25054
ENSG00000132744,ACY3,Q96HD9
ENSG00000148848,ADAM12,O43184
ENSG00000143537,ADAM15,Q13444
ENSG00000093072,ADA2,Q9NZK5
ENSG00000184060,ADAP2,Q9NPF8
ENSG00000197953,AADACL2,Q6P093
ENSG00000261846,AADACL2,Q6P093
ENSG00000078295,ADCY2,Q08462
ENSG00000138031,ADCY3,O60266
ENSG00000162104,ADCY9,O60503
ENSG00000148700,ADD3,Q9UEY8
ENSG00000106541,AGR2,O95994
ENSG00000135298,ADGRB3,O60242
ENSG00000174837,ADGRE1,Q14246
ENSG00000127507,ADGRE2,Q9UHX3
ENSG00000164393,ADGRF2,Q8IZF7
ENSG00000205336,ADGRG1,Q9Y653
ENSG00000173698,ADGRG2,Q8IZP9
ENSG00000159618,ADGRG5,Q8IZF4
ENSG00000112414,ADGRG6,Q86SQ4
ENSG00000188157,AGRN,O00468
ENSG00000150471,ADGRL3,Q9HAR2
ENSG00000159723,AGRP,O00253
ENSG00000144891,AGTR1,P30556
ENSG00000164022,AIMP1,Q12904
ENSG00000198074,AKR1B10,O60218
ENSG00000183760,ACP7,Q6ZNF0
ENSG00000135503,ACVR1B,P36896
ENSG00000159322,ADPGK,Q9BRR6
ENSG00000043591,ADRB1,P08588
ENSG00000111863,ADTRP,Q96IZ2
ENSG00000106624,AEBP1,Q8IUX7
ENSG00000131355,ADGRE3,Q9BY15
ENSG00000069122,ADGRF5,Q8IZF2
ENSG00000178522,AMBN,Q9NP70
ENSG00000184675,AMER1,Q5JTC6
ENSG00000105221,AKT2,P31751
ENSG00000166971,AKTIP,Q9H8T0
ENSG00000163631,ALB,P02768
ENSG00000087460,GNAS,P84996
ENSG00000196711,ALKAL1,Q6UXT8
ENSG00000091879,ANGPT2,O15123
ENSG00000101280,ANGPT4,Q9Y264
ENSG00000047617,ANO2,Q9NQ90
ENSG00000151572,ANO4,Q32M45
ENSG00000262139,ANO4,Q32M45
ENSG00000146205,ANO7,Q6IWH7
ENSG00000113389,NPR3,P17342
ENSG00000170214,ADRA1B,P35368
ENSG00000075340,ADD2,P35612
ENSG00000171094,ALK,Q9UM73
ENSG00000127554,GFER,P55789
ENSG00000243480,AMY2A,P04746
ENSG00000167772,ANGPTL4,Q9BY76
ENSG00000171819,ANGPTL7,O43827
ENSG00000145362,ANK2,Q01484
ENSG00000151150,ANK3,Q12955
ENSG00000074855,ANO8,Q9HCE9
ENSG00000183020,AP2A2,O94973
ENSG00000161203,AP2M1,Q96CW1
ENSG00000175548,ALG10B,Q5I7T1
ENSG00000145730,PAM,P19021
ENSG00000165566,AMER2,Q8N7J2
ENSG00000174876,AMY1B,P04745
ENSG00000187733,AMY1C,P04745
ENSG00000237763,AMY1A,P04745
ENSG00000240038,AMY2B,P19961
ENSG00000198720,ANKRD13B,Q86YJ7
ENSG00000172932,ANKRD13D,Q6ZTN6
ENSG00000120937,NPPB,P16860
ENSG00000111218,PRMT8,Q9NR22
ENSG00000106927,AMBP,P02760
ENSG00000176020,AMIGO3,Q86WK7
ENSG00000076513,ANKRD13A,Q8IZ07
ENSG00000175206,NPPA,P01160
ENSG00000159899,NPR2,P20594
ENSG00000185046,ANKS1B,Q7Z6G8
ENSG00000117601,SERPINC1,P01008
ENSG00000110243,APOA5,Q6Q788
ENSG00000234906,APOC2,P02655
ENSG00000100336,APOL4,Q9BPW4
ENSG00000167580,AQP2,P41181
ENSG00000165272,AQP3,Q92482
ENSG00000161798,AQP5,P55064
ENSG00000169379,ARL13B,Q3SXY8
ENSG00000198576,ARC,Q7LC44
ENSG00000165527,ARF6,P62330
ENSG00000137135,ARHGEF39,Q8N4T4
ENSG00000113966,ARL6,Q9H0F7
ENSG00000140450,ARRDC4,Q8NCT1
ENSG00000161944,ASGR2,P07307
ENSG00000152092,ASTN1,O14525
ENSG00000164252,AGGF1,Q8N302
ENSG00000181754,AMIGO1,Q86WK6
ENSG00000139211,AMIGO2,Q86SJ2
ENSG00000135409,AMHR2,Q16671
ENSG00000166126,AMN,Q9BXJ7
ENSG00000187689,AMTN,Q6UX39
ENSG00000214274,ANG,P03950
ENSG00000132855,ANGPTL3,Q9Y5C1
ENSG00000130812,ANGPTL6,Q8NI99
ENSG00000154188,ANGPT1,Q15389
ENSG00000163297,ANTXR2,P58335
ENSG00000104537,ANXA13,P27216
ENSG00000131480,AOC2,O75106
ENSG00000065609,SNAP91,O60641
ENSG00000154856,APCDD1,Q8J025
ENSG00000084234,APLP2,Q06481
ENSG00000120318,ARAP3,Q8WWN8
ENSG00000171388,APLN,Q9ULZ1
ENSG00000158874,APOA2,P02652
ENSG00000110244,APOA4,P06727
ENSG00000091583,APOH,P02749
ENSG00000143761,ARF1,P84077
ENSG00000116584,ARHGEF2,Q92974
ENSG00000136002,ARHGEF4,Q9NR80
ENSG00000240583,AQP1,P29972
ENSG00000138085,ATRAID,Q6UW56
ENSG00000173020,GRK2,P25098
ENSG00000104880,ARHGEF18,Q6ZSZ5
ENSG00000240771,ARHGEF25,Q86VW2
ENSG00000188042,ARL4C,P56559
ENSG00000141480,ARRB2,P32121
ENSG00000113369,ARRDC3,Q96B67
ENSG00000188611,ASAH2,Q9NR71
ENSG00000018625,ATP1A2,P50993
ENSG00000105409,ATP1A3,P13637
ENSG00000129244,ATP1B2,P14415
ENSG00000122644,ARL4A,P40617
ENSG00000164291,ARSK,Q6UWY0
ENSG00000256394,ASIC5,Q9NY37
ENSG00000106819,ASPN,Q9BXN1
ENSG00000206190,ATP10A,O60312
ENSG00000145246,ATP10D,Q9P241
ENSG00000101974,ATP11C,Q8NB49
ENSG00000070961,ATP2B1,P20020
ENSG00000157087,ATP2B2,Q01814
ENSG00000081923,ATP8B1,O43520
ENSG00000184730,APOBR,Q0VD83
ENSG00000110245,APOC3,P02656
ENSG00000186635,ARAP1,Q96P48
ENSG00000180801,ARSJ,Q5FYB0
ENSG00000175906,ARL4D,P49703
ENSG00000130768,SMPDL3B,Q92485
ENSG00000166311,SMPD1,P17405
ENSG00000118137,APOA1,P02647
ENSG00000084674,APOB,P04114
ENSG00000214944,ARHGEF28,Q8N1W1
ENSG00000141505,ASGR1,P07306
ENSG00000163399,ATP1A1,P05023
ENSG00000143153,ATP1B1,P05026
ENSG00000067842,ATP2B3,Q16720
ENSG00000132932,ATP8A2,Q9NTI2
ENSG00000143515,ATP8B2,P98198
ENSG00000104043,ATP8B4,Q8TF62
ENSG00000062096,ARSF,P54793
ENSG00000117407,ARTN,Q5T4W7
ENSG00000151693,ASAP2,O43150
ENSG00000213199,ASIC3,Q9UHC3
ENSG00000101440,ASIP,P42127
ENSG00000058668,ATP2B4,P23634
ENSG00000124406,ATP8A1,Q9Y2Q0
ENSG00000165240,ATP7A,Q04656
ENSG00000160323,ADAMTS13,Q76LX8
ENSG00000281244,ADAMTS13,Q76LX8
ENSG00000140470,ADAMTS17,Q8TE56
ENSG00000154734,ADAMTS1,Q9UHI8
ENSG00000173157,ADAMTS20,P59510
ENSG00000120708,TGFBI,Q15582
ENSG00000132681,ATP1A4,Q13733
ENSG00000069849,ATP1B3,P54709
ENSG00000197859,ADAMTSL2,Q86TH1
ENSG00000143382,ADAMTSL4,Q6UY14
ENSG00000186009,ATP4B,P51164
ENSG00000137486,ARRB1,P49407
ENSG00000183876,ARSI,Q5FYB1
ENSG00000110881,ASIC1,P78348
ENSG00000108684,ASIC2,Q16515
ENSG00000172594,SMPDL3A,Q92484
ENSG00000188886,ASTL,Q6HA08
ENSG00000068650,ATP11A,P98196
ENSG00000075673,ATP12A,P54707
ENSG00000128272,ATF4,P18848
ENSG00000156218,ADAMTSL3,P82987
ENSG00000105675,ATP4A,P20648
ENSG00000138138,ATAD1,Q8NBU5
ENSG00000283024,ATAD1,Q8NBU5
ENSG00000178031,ADAMTSL1,Q8N6G6
ENSG00000152234,ATP5A1,P25705
ENSG00000088812,ATRN,O75882
ENSG00000138316,ADAMTS14,Q8WXS8
ENSG00000145536,ADAMTS16,Q8TE57
ENSG00000140873,ADAMTS18,Q8TE60
ENSG00000158859,ADAMTS4,O75173
ENSG00000119147,C2orf40,Q9H1Z8
ENSG00000086062,B4GALT1,P15291
ENSG00000142303,ADAMTS10,Q9H324
ENSG00000151388,ADAMTS12,P58397
ENSG00000166106,ADAMTS15,Q8TE58
ENSG00000145808,ADAMTS19,Q8TE59
ENSG00000087116,ADAMTS2,O95450
ENSG00000283802,ADAMTS2,O95450
ENSG00000156140,ADAMTS3,O15072
ENSG00000163638,ADAMTS9,Q9P2N4
ENSG00000121989,ACVR2A,P27037
ENSG00000114739,ACVR2B,Q13705
ENSG00000166710,B2M,P61769
ENSG00000273686,B2M,P61769
ENSG00000172270,BSG,P35613
ENSG00000021488,SLC7A9,P82251
ENSG00000174483,BBS1,Q8NFJ9
ENSG00000163093,BBS5,Q8N3I7
ENSG00000138686,BBS7,Q8IWZ6
ENSG00000103126,AXIN1,O15169
ENSG00000187244,BCAM,P50895
ENSG00000155629,PIK3AP1,Q6ZUJ8
ENSG00000127325,BEST3,Q8N1M1
ENSG00000125864,BFSP1,Q12934
ENSG00000125378,BMP4,P12644
ENSG00000183682,BMP8A,Q7Z5Y6
ENSG00000124557,BTN1A1,Q13410
ENSG00000112763,BTN2A1,Q7KYR7
ENSG00000111801,BTN3A3,O00478
ENSG00000177575,CD163,Q86VB7
ENSG00000177675,CD163L1,Q9NR16
ENSG00000125810,CD93,Q9NPY3
ENSG00000240654,C1QTNF9,P0C862
ENSG00000154162,CDH12,P55289
ENSG00000129910,CDH15,P55291
ENSG00000104267,CA2,P00918
ENSG00000185933,CALHM1,Q8IU99
ENSG00000064989,CALCRL,Q16602
ENSG00000131236,CAP1,Q01518
ENSG00000164733,CTSB,P07858
ENSG00000117984,CTSD,P07339
ENSG00000105971,CAV2,P51636
ENSG00000182533,CAV3,P56539
ENSG00000158516,CPA2,P48052
ENSG00000165078,CPA6,Q8N4T0
ENSG00000039987,BEST2,Q8NFU1
ENSG00000142959,BEST4,Q8NFU0
ENSG00000170819,BFSP2,Q13515
ENSG00000168398,BDKRB2,P30411
ENSG00000168487,BMP1,P13497
ENSG00000112175,BMP5,P22003
ENSG00000153162,BMP6,P22004
ENSG00000164619,BMPER,Q8N8U9
ENSG00000107779,BMPR1A,P36894
ENSG00000184459,BPIFC,Q8NFQ6
ENSG00000101425,BPI,P17213
ENSG00000162670,BRINP3,Q76B58
ENSG00000162399,BSND,Q8WZ55
ENSG00000145861,C1QTNF2,Q9BXJ5
ENSG00000184471,C1QTNF8,P60827
ENSG00000102181,CD99L2,Q8TCZ2
ENSG00000167791,CABP2,Q9NPB3
ENSG00000151067,CACNA1C,Q13936
ENSG00000006283,CACNA1G,O43497
ENSG00000140945,CDH13,P55290
ENSG00000071991,CDH19,Q9H159
