target,target_id,target_gene_symbol,target_uniprot,target_ensembl_gene_id,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_ensembl_gene_id,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,type,action,action_comment,selectivity,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
12S-LOX,1387,ALOX12,P18054,ENSG00000108839,,,,,,,Human,ML355,8752,,,252827410,Inhibitor,Inhibition,"",Selective,f,t,"",pIC50,,6.46999979019165,,IC50,,340,,=,"","","",24393039
15-LOX-1,1388,ALOX15,P16050,ENSG00000161905,,,,,,,Human,PKUMDL_MH_1001,9141,,,315661226,Allosteric modulator,Positive,"",Not Determined,f,f,"",pKd,,5.40999984741211,,Kd,,3900,,=,Determined by surface plasmon resonance (SPR),"","",26290290
15-LOX-1,1388,ALOX15,P16050,ENSG00000161905,,,,,,,Human,compound 34 [PMID: 20866075],8751,,,252827409,Inhibitor,Inhibition,"",Selective,f,t,"",pKi,,8,,Ki,,10,,<,"","","",20866075
15-LOX-1,1388,ALOX15,P16050,ENSG00000161905,,,,,,,Human,ML351,10263,,,381744944,Inhibitor,Inhibition,"",Not Determined,f,f,"",pIC50,,6.69999980926514,,IC50,,200,,=,"","","",24672829
15-LOX-2,1389,ALOX15B,O15296,ENSG00000179593,,,,,,,Human,compound 21n [PMID: 17656086],8750,,,252827408,Inhibitor,Inhibition,"",Not Determined,f,f,"",pIC50,,7.28999996185303,,IC50,,51,,=,"","","",17656086
15-LOX-2,1389,ALOX15B,O15296,ENSG00000179593,,,,,,,Human,MLS000536924,10264,,,381744945,Inhibitor,Inhibition,"",Not Determined,f,f,"",pKi,,5.59999990463257,,Ki,,2500,,=,"","","",25111178
3-Mercaptopyruvate sulfurtransferase,1446,MPST,P25325,ENSG00000128309,,,,,,,Human,I3MT-3,10210,,,381744892,Inhibitor,Inhibition,"",Not Determined,f,f,"",pIC50,,5.57000017166138,,IC50,,2700,,=,"","","",28079151
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,ENSG00000140992,,,,,,,Human,7-hydroxystaurosporine,7907,,,249565590,Inhibitor,Inhibition,"",Not Determined,f,t,"",pIC50,,7.48000001907349,,IC50,,33,,=,"","","",11896604
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,ENSG00000140992,,,,,,,Human,BX-795,8006,,,249565686,Inhibitor,Inhibition,"",Not Determined,f,t,"",pIC50,,7.96000003814697,,IC50,,11,,=,In a direct kinase activity measuring phosphorylation od a small peptide substrate mimetic,"","",15772071
3-phosphoinositide dependent protein kinase 1,1519,PDPK1,O15530,ENSG00000140992,,,,,,,Human,BX-912,8007,,,249565687,Inhibitor,Inhibition,"",Not Determined,f,t,"",pIC50,,7.59000015258789,,IC50,,26,,=,In a direct kinase activity measuring phosphorylation od a small peptide substrate mimetic,"","",15772071
