Entry;Entry name;Status;Protein names;Gene names;Organism
P04156;PRIO_HUMAN;reviewed;Major prion protein (PrP) (ASCR) (PrP27-30) (PrP33-35C) (CD antigen CD230);PRNP ALTPRP PRIP PRP;Homo sapiens (Human)
P05186;PPBT_HUMAN;reviewed;Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme);ALPL;Homo sapiens (Human)
P06858;LIPL_HUMAN;reviewed;Lipoprotein lipase (LPL) (EC 3.1.1.34);LPL LIPD;Homo sapiens (Human)
P07911;UROM_HUMAN;reviewed;Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form];UMOD;Homo sapiens (Human)
Q12891;HYAL2_HUMAN;reviewed;Hyaluronidase-2 (Hyal-2) (EC 3.2.1.35) (Hyaluronoglucosaminidase-2) (Lung carcinoma protein 2) (LuCa-2);HYAL2 LUCA2;Homo sapiens (Human)
P13987;CD59_HUMAN;reviewed;CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59);CD59 MIC11 MIN1 MIN2 MIN3 MSK21;Homo sapiens (Human)
Q10589;BST2_HUMAN;reviewed;Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (Tetherin) (CD antigen CD317);BST2;Homo sapiens (Human)
P22303;ACES_HUMAN;reviewed;Acetylcholinesterase (AChE) (EC 3.1.1.7);ACHE;Homo sapiens (Human)
P08571;CD14_HUMAN;reviewed;"Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]";CD14;Homo sapiens (Human)
P15328;FOLR1_HUMAN;reviewed;Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18);FOLR1 FOLR;Homo sapiens (Human)
P08174;DAF_HUMAN;reviewed;Complement decay-accelerating factor (CD antigen CD55);CD55 CR DAF;Homo sapiens (Human)
P55290;CAD13_HUMAN;reviewed;Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin);CDH13 CDHH;Homo sapiens (Human)
Q03405;UPAR_HUMAN;reviewed;Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87);PLAUR MO3 UPAR;Homo sapiens (Human)
P16444;DPEP1_HUMAN;reviewed;Dipeptidase 1 (EC 3.4.13.19) (Dehydropeptidase-I) (Microsomal dipeptidase) (Renal dipeptidase) (hRDP);DPEP1 MDP RDP;Homo sapiens (Human)
Q8IV16;HDBP1_HUMAN;reviewed;Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 (GPI-HBP1) (GPI-anchored HDL-binding protein 1) (High density lipoprotein-binding protein 1);GPIHBP1 HBP1;Homo sapiens (Human)
P22748;CAH4_HUMAN;reviewed;Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV);CA4;Homo sapiens (Human)
P13385;TDGF1_HUMAN;reviewed;Teratocarcinoma-derived growth factor 1 (Cripto-1 growth factor) (CRGF) (Epidermal growth factor-like cripto protein CR1);TDGF1 CRIPTO;Homo sapiens (Human)
