Entry;Entry name;Status;Protein names;Gene names;Organism
O43561;LAT_HUMAN;reviewed;Linker for activation of T-cells family member 1 (36 kDa phospho-tyrosine adapter protein) (pp36) (p36-38);LAT;Homo sapiens (Human)
Q9GZY6;NTAL_HUMAN;reviewed;Linker for activation of T-cells family member 2 (Linker for activation of B-cells) (Membrane-associated adapter molecule) (Non-T-cell activation linker) (Williams-Beuren syndrome chromosomal region 15 protein) (Williams-Beuren syndrome chromosomal region 5 protein);LAT2 LAB NTAL WBS15 WBSCR15 WBSCR5 HSPC046;Homo sapiens (Human)
O95210;STBD1_HUMAN;reviewed;Starch-binding domain-containing protein 1 (Genethonin-1) (Glycophagy cargo receptor STBD1);STBD1 GENX-3414;Homo sapiens (Human)
Q9NWQ8;PHAG1_HUMAN;reviewed;Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 (Csk-binding protein) (Transmembrane adapter protein PAG) (Transmembrane phosphoprotein Cbp);PAG1 CBP PAG;Homo sapiens (Human)
O60488;ACSL4_HUMAN;reviewed;Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 4) (LACS 4);ACSL4 ACS4 FACL4 LACS4;Homo sapiens (Human)
P33121;ACSL1_HUMAN;reviewed;Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2);ACSL1 FACL1 FACL2 LACS LACS1 LACS2;Homo sapiens (Human)
O95470;SGPL1_HUMAN;reviewed;Sphingosine-1-phosphate lyase 1 (S1PL) (SP-lyase 1) (SPL 1) (hSPL) (EC 4.1.2.27) (Sphingosine-1-phosphate aldolase);SGPL1 KIAA1252;Homo sapiens (Human)
Q9UKU0;ACSL6_HUMAN;reviewed;Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 6) (LACS 6);ACSL6 ACS2 FACL6 KIAA0837 LACS5;Homo sapiens (Human)
P04921;GLPC_HUMAN;reviewed;Glycophorin-C (Glycoconnectin) (Glycophorin-D) (GPD) (Glycoprotein beta) (PAS-2') (Sialoglycoprotein D) (CD antigen CD236);GYPC GLPC GPC;Homo sapiens (Human)
O95573;ACSL3_HUMAN;reviewed;Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 3) (LACS 3);ACSL3 ACS3 FACL3 LACS3;Homo sapiens (Human)
